,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
19,19,7322,UBE2D2,-,347,197,8.03899997857005e-316,19250909,(p=1.04e-04),,27001857,(p=1.09e-04),,16338390,(p=1.12e-04),,17609381,(p=1.12e-04),,29191979,(p=1.12e-04),,18006823,(p=1.13e-04),,10888670,(p=1.16e-04),,21113135,(p=1.17e-04),,19256485,(p=1.18e-04),,12525502,(p=1.18e-04),
20,20,8743,TNFSF10,-,776,259,3.95499999999993e-311,26142735,(p=1.09e-04),,20417200,(p=1.17e-04),,22462553,(p=1.18e-04),,21695716,(p=1.18e-04),,22948392,(p=1.21e-04),,22322844,(p=1.22e-04),,26506422,(p=1.23e-04),,21459798,(p=2.00e-04),,17431115,(p=2.01e-04),,23319802,(p=2.02e-04),
21,21,4609,MYC,-,1745,362,4.34499999999998e-310,21949397,(p=1.03e-04),,21054888,(p=1.05e-04),,18426604,(p=1.10e-04),,28414305,(p=1.10e-04),,22710719,(p=1.10e-04),,25356737,(p=1.12e-04),,26894970,(p=1.12e-04),,24444383,(p=1.15e-04),,26988986,(p=1.15e-04),,26038816,(p=1.17e-04),
22,22,331,XIAP,-,499,219,6.367e-309,20067634,(p=1.05e-04),,27607580,(p=1.05e-04),,22776562,(p=1.08e-04),,17613533,(p=1.12e-04),,17339366,(p=1.15e-04),,21113135,(p=1.17e-04),,18829553,(p=1.17e-04),,18049476,(p=1.17e-04),,12525502,(p=1.18e-04),,24603802,(p=1.19e-04),
23,23,332,BIRC5,-,1116,295,9.716e-307,22407831,(p=9.82e-05),,26497847,(p=1.08e-04),,17613533,(p=1.12e-04),,26148234,(p=1.13e-04),,25808836,(p=1.18e-04),,25895606,(p=1.20e-04),,20698994,(p=1.20e-04),,20515940,(p=1.21e-04),,26043753,(p=1.23e-04),,21737502,(p=1.23e-04),
24,24,10273,STUB1,-,358,191,2.216e-301,22271573,(p=1.10e-04),,22038067,(p=1.11e-04),,19483080,(p=1.13e-04),,27475501,(p=1.15e-04),,23246967,(p=1.16e-04),,18655187,(p=1.16e-04),,16037132,(p=1.17e-04),,23256568,(p=1.17e-04),,21478269,(p=1.18e-04),,17873020,(p=1.18e-04),
25,25,1499,CTNNB1,-,2298,399,4.276e-299,18851830,(p=8.50e-05),,19576224,(p=8.82e-05),,19966869,(p=9.84e-05),,21949397,(p=1.03e-04),,14516475,(p=1.07e-04),,27001857,(p=1.09e-04),,24882689,(p=1.09e-04),,18805092,(p=1.13e-04),,24736394,(p=1.15e-04),,25430888,(p=1.18e-04),
26,26,7323,UBE2D3,-,314,181,3.403e-298,18851830,(p=8.50e-05),,21813641,(p=8.73e-05),,15601839,(p=9.97e-05),,24821572,(p=1.06e-04),,23357576,(p=1.08e-04),,20638939,(p=1.08e-04),,21060154,(p=1.11e-04),,18498745,(p=1.12e-04),,25883150,(p=1.16e-04),,21113135,(p=1.17e-04),
27,27,4780,NFE2L2,-,1034,275,3.619e-294,16449638,(p=9.04e-05),,15601839,(p=9.97e-05),,20421418,(p=1.03e-04),,18757741,(p=1.07e-04),,23434765,(p=1.15e-04),,23108405,(p=1.16e-04),,21482715,(p=1.16e-04),,25505069,(p=1.16e-04),,27015836,(p=1.17e-04),,21251164,(p=1.18e-04),
28,28,8451,CUL4A,-,248,164,1.192e-291,24245672,(p=7.04e-05),,26976604,(p=7.40e-05),,18173839,(p=7.92e-05),,26906416,(p=8.64e-05),,21778237,(p=9.01e-05),,17254749,(p=9.19e-05),,15448697,(p=9.35e-05),,20190741,(p=9.44e-05),,22466964,(p=9.46e-05),,12504025,(p=9.50e-05),
29,29,55294,FBXW7,-,334,180,1.735e-289,26458995,(p=1.03e-04),,21368833,(p=1.09e-04),,23820376,(p=1.13e-04),,19412162,(p=1.13e-04),,22608923,(p=1.15e-04),,28829765,(p=1.16e-04),,27409838,(p=1.16e-04),,23507969,(p=1.16e-04),,15498494,(p=1.18e-04),,24884509,(p=1.19e-04),
30,30,7316,UBC,-,965,263,7.052e-289,24130483,(p=7.32e-05),,20688984,(p=9.00e-05),,20190741,(p=9.44e-05),,22466964,(p=9.46e-05),,25486460,(p=1.00e-04),,27001857,(p=1.09e-04),,22959436,(p=1.09e-04),,25411243,(p=1.10e-04),,21903097,(p=1.10e-04),,17318178,(p=1.13e-04),
31,31,1869,E2F1,-,703,219,3.541e-270,22836579,(p=9.29e-05),,19759023,(p=9.76e-05),,23001041,(p=1.07e-04),,12097298,(p=1.09e-04),,22580462,(p=1.10e-04),,20948288,(p=1.12e-04),,23833190,(p=1.14e-04),,18813780,(p=1.22e-04),,28542143,(p=1.22e-04),,18722373,(p=1.23e-04),
32,32,5970,RELA,-,1309,279,3.323e-269,25486460,(p=1.00e-04),,16998474,(p=1.07e-04),,20706634,(p=1.08e-04),,26463447,(p=1.12e-04),,21474709,(p=1.14e-04),,26247921,(p=1.15e-04),,22020940,(p=1.18e-04),,28817833,(p=1.18e-04),,20048074,(p=1.19e-04),,19746155,(p=1.20e-04),
33,33,2932,GSK3B,-,1118,260,7.552e-268,19576224,(p=8.82e-05),,19797085,(p=1.01e-04),,23820376,(p=1.13e-04),,23507969,(p=1.16e-04),,22087308,(p=1.16e-04),,22286758,(p=1.17e-04),,22893788,(p=1.17e-04),,24027432,(p=1.19e-04),,10228155,(p=1.20e-04),,20388706,(p=1.20e-04),
