,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
18,18,4790,NFKB1,-,2819,238,1.805e-155,25837197,(p=2.08e-04),,18593997,(p=2.14e-04),,18989459,(p=2.15e-04),,17543500,(p=5.01e-04),,20482842,(p=7.00e-04),,19709433,(p=7.01e-04),,17927847,(p=7.01e-04),,27517565,(p=1.00e-03),,17545551,(p=1.10e-03),,28490597,(p=1.10e-03),
19,19,3718,JAK3,-,206,85,1.515e-148,18297515,(p=6.64e-05),,19290934,(p=1.11e-04),,15611059,(p=2.01e-04),,25146434,(p=2.07e-04),,28284718,(p=2.08e-04),,26244872,(p=2.10e-04),,21971513,(p=2.12e-04),,19470474,(p=2.13e-04),,9047382,(p=2.14e-04),,22705984,(p=4.00e-04),
20,20,5595,MAPK3,-,1306,159,1.709e-148,26499109,(p=2.03e-04),,19147767,(p=4.02e-04),,23274199,(p=4.04e-04),,25247600,(p=4.05e-04),,18644434,(p=4.08e-04),,14551213,(p=5.00e-04),,12763138,(p=6.00e-04),,21270289,(p=7.00e-04),,17942603,(p=7.02e-04),,23621408,(p=9.00e-04),
21,21,25,ABL1,-,740,127,6.923e-148,24775308,(p=9.94e-05),,22787435,(p=1.18e-04),,25134459,(p=2.11e-04),,9774693,(p=2.13e-04),,22847163,(p=4.00e-04),,24836440,(p=4.02e-04),,28639894,(p=4.02e-04),,21892207,(p=4.05e-04),,27856601,(p=4.06e-04),,21183952,(p=4.07e-04),
22,22,2064,ERBB2,-,2547,212,1.689e-145,11940572,(p=4.03e-04),,23866081,(p=6.01e-04),,25766325,(p=9.01e-04),,25524798,(p=1.00e-03),,24323026,(p=1.00e-03),,26500281,(p=1.00e-03),,25694417,(p=1.00e-03),,18211286,(p=1.10e-03),,25471734,(p=1.20e-03),,24044505,(p=1.20e-03),
23,23,4352,MPL,-,165,74,9.826e-137,18297515,(p=6.64e-05),,16834459,(p=7.81e-05),,18754026,(p=1.05e-04),,19996410,(p=1.15e-04),,18464114,(p=1.16e-04),,18566540,(p=1.16e-04),,20410924,(p=1.18e-04),,26668133,(p=2.02e-04),,26450985,(p=2.02e-04),,19372714,(p=2.06e-04),
24,24,1432,MAPK14,-,1249,141,1.735e-133,25086905,(p=2.13e-04),,15894558,(p=3.00e-04),,11226159,(p=7.01e-04),,22095154,(p=9.01e-04),,25234193,(p=9.02e-04),,21858220,(p=9.02e-04),,25817163,(p=9.02e-04),,11377386,(p=1.00e-03),,21923922,(p=1.20e-03),,16769768,(p=1.20e-03),
25,25,6714,SRC,-,1255,141,3.161e-133,19223541,(p=1.19e-04),,19965650,(p=2.05e-04),,14963038,(p=2.09e-04),,10358079,(p=2.09e-04),,10462375,(p=2.15e-04),,19861436,(p=2.16e-04),,26936507,(p=3.01e-04),,8657134,(p=3.01e-04),,16959222,(p=4.01e-04),,18948751,(p=4.03e-04),
26,26,613,BCR,-,399,91,2e-129,22787435,(p=1.18e-04),,25134459,(p=2.11e-04),,22896000,(p=2.14e-04),,22847163,(p=4.00e-04),,24836440,(p=4.02e-04),,28639894,(p=4.02e-04),,22384256,(p=4.03e-04),,27856601,(p=4.06e-04),,21183952,(p=4.07e-04),,12408765,(p=5.00e-04),
27,27,4170,MCL1,-,587,95,1.495e-118,21247487,(p=9.31e-05),,25231749,(p=4.02e-04),,27956387,(p=4.03e-04),,17927446,(p=7.01e-04),,15940637,(p=7.01e-04),,19523441,(p=7.01e-04),,19808698,(p=9.00e-04),,17599053,(p=9.02e-04),,27246906,(p=9.02e-04),,17009247,(p=9.03e-04),
28,28,673,BRAF,-,1852,149,3.827e-118,23242808,(p=4.04e-04),,27283860,(p=4.04e-04),,24871132,(p=9.01e-04),,21936566,(p=9.01e-04),,21107323,(p=9.02e-04),,25351955,(p=1.00e-03),,27554081,(p=1.00e-03),,22742884,(p=1.00e-03),,21900390,(p=1.10e-03),,24664307,(p=1.20e-03),
29,29,3480,IGF1R,-,955,106,1.245e-110,23857432,(p=2.14e-04),,25211187,(p=4.01e-04),,10747872,(p=9.01e-04),,26455324,(p=9.01e-04),,20417200,(p=9.01e-04),,24266654,(p=9.02e-04),,9727029,(p=1.00e-03),,27532210,(p=1.00e-03),,26450156,(p=1.00e-03),,16113100,(p=1.20e-03),
30,30,6778,STAT6,-,302,69,2.06e-105,26246572,(p=2.08e-04),,19655172,(p=2.11e-04),,15044251,(p=2.12e-04),,10856136,(p=2.14e-04),,26208975,(p=3.01e-04),,12039028,(p=4.04e-04),,19423726,(p=4.04e-04),,19282076,(p=4.07e-04),,15199062,(p=6.00e-04),,12207328,(p=6.01e-04),
