,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
19,19,5594,MAPK1,-,1938,275,4.365e-205,28241849,(p=1.02e-04),,17015027,(p=2.00e-04),,17526808,(p=2.04e-04),,26310353,(p=2.05e-04),,24300974,(p=2.10e-04),,25953087,(p=2.11e-04),,20038816,(p=4.01e-04),,20009539,(p=4.02e-04),,26051103,(p=4.02e-04),,24607276,(p=4.05e-04),
20,20,5295,PIK3R1,-,660,167,2.413e-193,21278786,(p=8.65e-05),,20007781,(p=9.41e-05),,22355357,(p=9.90e-05),,26895380,(p=2.01e-04),,18803287,(p=2.03e-04),,21478295,(p=2.05e-04),,21743495,(p=3.01e-04),,17006756,(p=4.01e-04),,12714585,(p=4.02e-04),,26676464,(p=4.03e-04),
21,21,5595,MAPK3,-,1306,214,4.259e-189,17526808,(p=2.04e-04),,20038816,(p=4.01e-04),,20009539,(p=4.02e-04),,26051103,(p=4.02e-04),,20126471,(p=4.04e-04),,20726858,(p=4.05e-04),,21607585,(p=4.06e-04),,19593445,(p=4.06e-04),,22722337,(p=4.06e-04),,15342917,(p=4.07e-04),
22,22,6714,SRC,-,1255,202,1.078e-180,22658320,(p=9.03e-05),,24937674,(p=9.60e-05),,18922903,(p=2.06e-04),,21646863,(p=2.06e-04),,21618517,(p=2.07e-04),,24887236,(p=2.09e-04),,26358373,(p=2.10e-04),,23242808,(p=2.10e-04),,27419630,(p=2.10e-04),,15286700,(p=4.00e-04),
23,23,6198,RPS6KB1,-,354,125,4.135e-177,25379021,(p=8.94e-05),,24447434,(p=9.41e-05),,22110663,(p=9.64e-05),,18025271,(p=1.01e-04),,29305864,(p=1.03e-04),,15028555,(p=2.03e-04),,25600244,(p=2.04e-04),,22871496,(p=2.09e-04),,27993682,(p=2.11e-04),,16839745,(p=2.11e-04),
24,24,1026,CDKN1A,-,1511,197,1.209e-160,25788262,(p=2.08e-04),,25349305,(p=4.02e-04),,24706169,(p=4.03e-04),,12599217,(p=4.04e-04),,21054888,(p=4.06e-04),,24467951,(p=4.08e-04),,16962592,(p=5.01e-04),,28757172,(p=5.02e-04),,17941827,(p=5.02e-04),,25885043,(p=1.20e-03),
25,25,8743,TNFSF10,-,776,149,3.557e-159,20417200,(p=8.99e-05),,18922903,(p=2.06e-04),,21538027,(p=4.02e-04),,18599181,(p=4.02e-04),,17420249,(p=4.05e-04),,12140294,(p=5.00e-04),,28424227,(p=5.02e-04),,21695716,(p=6.00e-04),,23053497,(p=1.10e-03),,21291526,(p=1.10e-03),
26,26,5747,PTK2,-,828,149,6.913e-155,26962872,(p=9.95e-05),,25971297,(p=1.04e-04),,24523919,(p=2.04e-04),,28757207,(p=2.07e-04),,25741138,(p=2.08e-04),,28533307,(p=2.09e-04),,26892465,(p=2.09e-04),,27036135,(p=2.11e-04),,26295809,(p=4.03e-04),,27736841,(p=4.04e-04),
27,27,4790,NFKB1,-,2819,253,1.109e-151,22145100,(p=9.52e-05),,25028470,(p=9.83e-05),,24137610,(p=9.99e-05),,26333382,(p=2.03e-04),,22552288,(p=2.09e-04),,24300974,(p=2.10e-04),,22641218,(p=4.01e-04),,27199349,(p=4.01e-04),,22286758,(p=4.01e-04),,20482842,(p=4.01e-04),
28,28,2932,GSK3B,-,1118,162,5.041e-149,19584164,(p=9.65e-05),,23729362,(p=2.09e-04),,22286758,(p=4.01e-04),,15688030,(p=4.03e-04),,22234583,(p=4.04e-04),,23243017,(p=4.06e-04),,12778079,(p=4.07e-04),,22534782,(p=4.08e-04),,23077590,(p=5.01e-04),,27780915,(p=8.00e-04),
29,29,1432,MAPK14,-,1249,169,1.994e-148,21858220,(p=9.04e-05),,17616668,(p=2.11e-04),,28355296,(p=2.11e-04),,16099944,(p=4.00e-04),,12085235,(p=4.01e-04),,23403951,(p=4.02e-04),,19885551,(p=4.04e-04),,20169663,(p=4.04e-04),,21923922,(p=4.05e-04),,27401020,(p=4.07e-04),
30,30,1027,CDKN1B,-,929,149,1.951e-147,27035903,(p=9.86e-05),,25788262,(p=2.08e-04),,19734935,(p=4.03e-04),,15688030,(p=4.03e-04),,12599217,(p=4.04e-04),,15611642,(p=4.05e-04),,21054888,(p=4.06e-04),,25821107,(p=4.06e-04),,25524798,(p=4.07e-04),,21062737,(p=5.01e-04),
31,31,4170,MCL1,-,587,125,2.056e-146,27351224,(p=8.88e-05),,17927446,(p=9.80e-05),,26603262,(p=2.02e-04),,28039357,(p=2.05e-04),,23883584,(p=2.06e-04),,25362855,(p=2.09e-04),,20038816,(p=4.01e-04),,16327976,(p=4.05e-04),,27465322,(p=4.05e-04),,23580240,(p=4.05e-04),
32,32,595,CCND1,-,1381,168,1.492e-140,20699365,(p=2.02e-04),,28349562,(p=2.03e-04),,15505422,(p=3.00e-04),,15377668,(p=4.00e-04),,15688030,(p=4.03e-04),,22234583,(p=4.04e-04),,19757306,(p=4.05e-04),,27226604,(p=4.05e-04),,18431519,(p=5.01e-04),,17941827,(p=5.02e-04),
33,33,3091,HIF1A,-,2688,227,3.564e-138,27821815,(p=9.10e-05),,24472707,(p=9.41e-05),,23785417,(p=2.04e-04),,25596742,(p=2.05e-04),,20574527,(p=2.06e-04),,16847054,(p=2.08e-04),,16849522,(p=2.10e-04),,21966417,(p=2.10e-04),,26239613,(p=3.00e-04),,27394002,(p=4.02e-04),
34,34,5291,PIK3CB,-,195,82,1.223e-134,25982275,(p=8.16e-05),,28196852,(p=8.83e-05),,27184134,(p=9.92e-05),,27176780,(p=1.02e-04),,26895380,(p=2.01e-04),,18755892,(p=2.05e-04),,28002804,(p=2.06e-04),,27863432,(p=2.07e-04),,20103642,(p=2.08e-04),,28783168,(p=4.01e-04),
35,35,558,AXL,-,235,85,8.925e-132,22890323,(p=2.05e-04),,24240689,(p=2.06e-04),,27671334,(p=2.07e-04),,27712586,(p=2.11e-04),,27856601,(p=2.11e-04),,25767293,(p=3.00e-04),,27927748,(p=4.01e-04),,21132014,(p=4.02e-04),,27923843,(p=4.06e-04),,20818175,(p=4.07e-04),
36,36,2309,FOXO3,-,513,108,7.296e-131,28036259,(p=9.58e-05),,26470790,(p=1.03e-04),,21092744,(p=1.04e-04),,18312651,(p=2.02e-04),,26310353,(p=2.05e-04),,24448243,(p=2.05e-04),,25554016,(p=2.07e-04),,27881235,(p=2.08e-04),,24630930,(p=2.09e-04),,22971992,(p=2.10e-04),
37,37,332,BIRC5,-,1116,144,9.291e-131,24387108,(p=9.37e-05),,25692408,(p=2.07e-04),,16847054,(p=2.08e-04),,22407831,(p=2.09e-04),,23624914,(p=2.09e-04),,18451140,(p=2.11e-04),,19130609,(p=2.11e-04),,18593915,(p=3.01e-04),,25808836,(p=4.00e-04),,25895606,(p=4.01e-04),
38,38,1019,CDK4,-,482,105,8.021e-130,25002028,(p=8.53e-05),,27986745,(p=8.76e-05),,25991817,(p=9.11e-05),,25876993,(p=9.93e-05),,12509456,(p=1.02e-04),,20354191,(p=2.00e-04),,27564114,(p=2.03e-04),,28349562,(p=2.03e-04),,24065146,(p=2.07e-04),,24496383,(p=2.07e-04),
39,39,367,AR,-,2103,183,1.261e-124,28468774,(p=7.26e-05),,26247526,(p=8.96e-05),,24356815,(p=9.17e-05),,27565181,(p=1.03e-04),,26506516,(p=1.04e-04),,28745319,(p=2.02e-04),,20203370,(p=2.06e-04),,24779793,(p=2.07e-04),,27249694,(p=2.07e-04),,26044568,(p=2.09e-04),
40,40,238,ALK,-,529,103,1.28e-122,27986745,(p=8.76e-05),,25228590,(p=2.03e-04),,26147305,(p=2.05e-04),,22203728,(p=2.10e-04),,22135231,(p=3.00e-04),,25351247,(p=4.04e-04),,24419060,(p=4.04e-04),,22705117,(p=4.04e-04),,21847362,(p=4.05e-04),,26719536,(p=4.08e-04),
41,41,596,BCL2,-,1761,162,1.916e-119,28428442,(p=9.88e-05),,23845444,(p=2.02e-04),,25111376,(p=4.02e-04),,24606718,(p=4.05e-04),,24599950,(p=4.05e-04),,23243017,(p=4.06e-04),,22433870,(p=5.01e-04),,23588221,(p=5.02e-04),,28379541,(p=1.20e-03),,23168911,(p=1.20e-03),
42,42,4609,MYC,-,1745,160,2.376e-118,18722373,(p=9.21e-05),,25537515,(p=9.51e-05),,27472392,(p=9.54e-05),,27184134,(p=9.92e-05),,28073841,(p=2.05e-04),,25884680,(p=2.06e-04),,27401245,(p=2.09e-04),,23887393,(p=2.10e-04),,15286700,(p=4.00e-04),,27076630,(p=4.03e-04),
43,43,208,AKT2,-,311,83,1.47e-116,19164214,(p=2.00e-04),,26895380,(p=2.01e-04),,27663592,(p=2.02e-04),,24699302,(p=2.05e-04),,11139588,(p=2.07e-04),,11507039,(p=4.01e-04),,19079138,(p=4.04e-04),,24838891,(p=4.04e-04),,21507933,(p=5.01e-04),,26475619,(p=5.01e-04),
44,44,7422,VEGFA,-,4154,243,1.019e-113,25889301,(p=8.50e-05),,25326806,(p=9.10e-05),,26239613,(p=3.00e-04),,22497886,(p=4.00e-04),,18278068,(p=4.01e-04),,27727447,(p=4.02e-04),,21886838,(p=4.05e-04),,19121088,(p=4.06e-04),,18097541,(p=4.07e-04),,17016437,(p=4.07e-04),
45,45,5599,MAPK8,-,927,117,1.64e-112,18025271,(p=1.01e-04),,17908987,(p=4.03e-04),,19593445,(p=4.06e-04),,20145041,(p=4.06e-04),,27401020,(p=4.07e-04),,18594007,(p=4.08e-04),,17699782,(p=5.00e-04),,22433870,(p=5.01e-04),,16982329,(p=7.00e-04),,21483469,(p=1.60e-03),
46,46,2305,FOXM1,-,363,79,2.329e-104,27185371,(p=9.88e-05),,23531216,(p=1.02e-04),,25391371,(p=2.04e-04),,25213081,(p=2.11e-04),,26918606,(p=2.11e-04),,28482906,(p=4.07e-04),,19513552,(p=5.00e-04),,19276163,(p=1.20e-03),,20351091,(p=1.80e-03),,18254960,(p=1.90e-03),
47,47,4851,NOTCH1,-,1098,117,2.981e-104,18593923,(p=2.00e-04),,19047145,(p=2.04e-04),,16651424,(p=2.06e-04),,18469855,(p=2.11e-04),,25879451,(p=4.03e-04),,21679465,(p=4.08e-04),,28122586,(p=5.01e-04),,17873882,(p=1.40e-03),,18663146,(p=1.60e-03),,22075757,(p=1.60e-03),
48,48,1499,CTNNB1,-,2298,161,1.273e-102,27196759,(p=9.35e-05),,20028853,(p=2.05e-04),,21297666,(p=4.05e-04),,26268703,(p=4.07e-04),,27835591,(p=6.00e-04),,27780915,(p=8.00e-04),,20056651,(p=9.00e-04),,21949247,(p=1.20e-03),,27391060,(p=1.60e-03),,24189400,(p=1.60e-03),
49,49,3717,JAK2,-,1189,119,2.054e-102,23838182,(p=2.00e-04),,20072651,(p=2.07e-04),,26682870,(p=2.09e-04),,22319590,(p=3.00e-04),,26084564,(p=3.01e-04),,24158701,(p=4.03e-04),,21518725,(p=4.03e-04),,22712764,(p=4.04e-04),,24886434,(p=4.05e-04),,23880305,(p=4.05e-04),
50,50,1950,EGF,-,666,93,8.9e-100,15886816,(p=9.81e-05),,19380191,(p=2.01e-04),,26774845,(p=4.03e-04),,19749156,(p=4.04e-04),,16210470,(p=4.08e-04),,20444693,(p=4.08e-04),,15802268,(p=5.00e-04),,17898861,(p=5.01e-04),,15798095,(p=5.01e-04),,20423485,(p=9.00e-04),
51,51,2260,FGFR1,-,503,84,2.862e-99,26549034,(p=9.03e-05),,23343422,(p=1.03e-04),,25512530,(p=2.01e-04),,26438159,(p=2.08e-04),,25188816,(p=2.09e-04),,27401245,(p=2.09e-04),,26936917,(p=3.01e-04),,28968756,(p=4.03e-04),,28646488,(p=4.03e-04),,21712446,(p=4.06e-04),
52,52,6790,AURKA,-,611,89,2.79e-98,25609923,(p=9.29e-05),,15504738,(p=2.02e-04),,25624750,(p=2.04e-04),,28073841,(p=2.05e-04),,26443806,(p=2.07e-04),,25362855,(p=2.09e-04),,23334327,(p=2.10e-04),,19649632,(p=3.00e-04),,22222631,(p=4.04e-04),,19891769,(p=4.06e-04),
53,53,3815,KIT,-,935,104,4.08e-98,28760855,(p=9.95e-05),,27633918,(p=2.11e-04),,19047099,(p=4.01e-04),,23246970,(p=4.02e-04),,26544626,(p=4.05e-04),,24211243,(p=4.05e-04),,20824047,(p=4.05e-04),,27068398,(p=4.05e-04),,20857409,(p=5.01e-04),,17546049,(p=5.01e-04),
54,54,3791,KDR,-,875,99,1.618e-95,20124452,(p=7.26e-05),,17631646,(p=2.01e-04),,26853422,(p=2.05e-04),,27789775,(p=2.06e-04),,23548264,(p=4.01e-04),,24952635,(p=4.02e-04),,24952732,(p=4.03e-04),,18379357,(p=4.05e-04),,27756875,(p=4.06e-04),,15610528,(p=4.08e-04),
