,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
18,18,5594,MAPK1,-,1938,113,6.09e-83,26051103,(p=2.04e-04),,20009539,(p=8.00e-04),,17942603,(p=1.30e-03),,18715846,(p=1.30e-03),,15342917,(p=1.60e-03),,21541441,(p=1.60e-03),,17526808,(p=1.60e-03),,20038816,(p=1.60e-03),,26992219,(p=1.90e-03),,23845703,(p=2.30e-03),
19,19,673,BRAF,-,1852,110,1.918e-82,27351224,(p=2.07e-04),,22245873,(p=8.01e-04),,26284586,(p=8.03e-04),,22797077,(p=9.02e-04),,27283860,(p=1.00e-03),,22880048,(p=1.00e-03),,21317202,(p=1.10e-03),,22912864,(p=1.10e-03),,19274086,(p=1.10e-03),,26678033,(p=1.20e-03),
20,20,2309,FOXO3,-,513,66,1.889e-81,24448243,(p=1.10e-03),,24769729,(p=1.10e-03),,22107151,(p=1.10e-03),,21092744,(p=1.20e-03),,20169663,(p=1.20e-03),,24630930,(p=1.20e-03),,22971992,(p=1.40e-03),,21793107,(p=1.40e-03),,27881235,(p=1.50e-03),,28036259,(p=1.80e-03),
21,21,1977,EIF4E,-,360,56,6.88e-77,21320304,(p=2.09e-04),,25884680,(p=4.00e-04),,28745319,(p=6.00e-04),,19020722,(p=9.00e-04),,21334199,(p=9.01e-04),,17724079,(p=9.01e-04),,28073841,(p=1.10e-03),,22556409,(p=1.20e-03),,16242075,(p=1.20e-03),,24363449,(p=1.20e-03),
22,22,3845,KRAS,-,2028,107,1.994e-76,24651628,(p=2.02e-04),,20124452,(p=2.03e-04),,24011934,(p=2.04e-04),,18663146,(p=3.02e-04),,22245873,(p=8.01e-04),,26479291,(p=9.01e-04),,22675430,(p=1.10e-03),,25326806,(p=1.20e-03),,22342683,(p=1.30e-03),,23728071,(p=1.40e-03),
23,23,3091,HIF1A,-,2688,119,9.801e-74,27821815,(p=9.88e-05),,26063890,(p=2.08e-04),,19121088,(p=9.01e-04),,20574527,(p=1.00e-03),,16849522,(p=1.10e-03),,20169663,(p=1.20e-03),,24472707,(p=1.20e-03),,24220190,(p=1.20e-03),,27394002,(p=1.30e-03),,28199842,(p=1.40e-03),
24,24,2932,GSK3B,-,1118,79,6.539e-73,25561726,(p=9.01e-04),,19584164,(p=9.02e-04),,20368287,(p=1.10e-03),,23243017,(p=1.60e-03),,24571487,(p=1.90e-03),,24391509,(p=2.20e-03),,22286758,(p=2.20e-03),,23729362,(p=2.30e-03),,27780915,(p=2.30e-03),,22534782,(p=2.40e-03),
25,25,7248,TSC1,-,216,45,4.366e-71,18413730,(p=3.02e-04),,20368287,(p=1.10e-03),,23401075,(p=1.20e-03),,18926585,(p=1.20e-03),,19966866,(p=1.40e-03),,27974549,(p=1.50e-03),,15342917,(p=1.60e-03),,23851502,(p=1.90e-03),,18342602,(p=1.90e-03),,24615476,(p=2.00e-03),
26,26,7157,TP53,-,8709,228,9.405e-69,20811722,(p=2.06e-04),,23640975,(p=5.01e-04),,24285179,(p=8.01e-04),,24469052,(p=8.01e-04),,27385486,(p=9.01e-04),,18548093,(p=1.40e-03),,25131770,(p=1.50e-03),,27825169,(p=1.50e-03),,28507282,(p=1.60e-03),,27520487,(p=1.70e-03),
27,27,6009,RHEB,-,110,36,2.227e-67,25476905,(p=5.01e-04),,20368287,(p=1.10e-03),,17018601,(p=1.20e-03),,16006564,(p=1.40e-03),,15809346,(p=1.50e-03),,18708578,(p=1.60e-03),,25351248,(p=1.90e-03),,20127734,(p=1.90e-03),,16915281,(p=1.90e-03),,26255626,(p=1.90e-03),
28,28,5595,MAPK3,-,1306,78,4.047e-67,26051103,(p=2.04e-04),,20009539,(p=8.00e-04),,17942603,(p=1.30e-03),,18715846,(p=1.30e-03),,15342917,(p=1.60e-03),,21541441,(p=1.60e-03),,17526808,(p=1.60e-03),,20038816,(p=1.60e-03),,20823133,(p=2.30e-03),,19597469,(p=2.40e-03),
