,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
18,18,4790,NFKB1,-,2819,387,2.889e-259,15964800,(p=1.08e-04),,27838375,(p=1.22e-04),,20735436,(p=2.02e-04),,19281832,(p=3.04e-04),,16926151,(p=3.05e-04),,24300974,(p=3.06e-04),,25028470,(p=4.01e-04),,15964798,(p=5.01e-04),,16306601,(p=5.01e-04),,22286758,(p=5.01e-04),
19,19,1869,E2F1,-,703,198,3.733e-242,16476732,(p=9.65e-05),,20585447,(p=1.19e-04),,23966291,(p=1.22e-04),,25816777,(p=3.06e-04),,24891616,(p=3.08e-04),,20971808,(p=6.03e-04),,12065845,(p=6.04e-04),,9468139,(p=7.01e-04),,23542171,(p=7.01e-04),,16717102,(p=7.01e-04),
20,20,2146,EZH2,-,780,205,3.164e-241,21383005,(p=1.21e-04),,21399658,(p=2.01e-04),,20946108,(p=2.02e-04),,25486432,(p=3.04e-04),,24346863,(p=3.06e-04),,20015867,(p=3.06e-04),,21232178,(p=3.06e-04),,22505648,(p=3.07e-04),,26304929,(p=5.01e-04),,21512140,(p=5.03e-04),
21,21,2033,EP300,-,1045,224,4.751e-235,19539243,(p=1.18e-04),,22116549,(p=1.24e-04),,27452907,(p=1.24e-04),,12402037,(p=1.27e-04),,20438716,(p=1.28e-04),,19961954,(p=1.29e-04),,19062177,(p=1.29e-04),,27633918,(p=2.00e-04),,20935208,(p=2.00e-04),,20388208,(p=3.02e-04),
22,22,596,BCL2,-,1761,275,1.339e-230,25384499,(p=1.04e-04),,24278362,(p=1.26e-04),,15235941,(p=3.05e-04),,28379541,(p=3.06e-04),,20045442,(p=5.02e-04),,25815462,(p=5.02e-04),,23673452,(p=6.04e-04),,28428442,(p=6.04e-04),,23504944,(p=7.00e-04),,28652654,(p=8.00e-04),
23,23,5728,PTEN,-,1903,271,1.236e-218,24292675,(p=1.14e-04),,19574087,(p=1.20e-04),,17912443,(p=1.26e-04),,17873065,(p=3.07e-04),,19158375,(p=5.02e-04),,18324520,(p=5.02e-04),,24491799,(p=6.03e-04),,25550771,(p=6.03e-04),,20113523,(p=6.04e-04),,21489309,(p=8.01e-04),
24,24,10014,HDAC5,-,170,112,7.88e-216,25129440,(p=1.16e-04),,28440397,(p=1.18e-04),,15619633,(p=1.27e-04),,16528103,(p=1.28e-04),,12019172,(p=2.03e-04),,27177225,(p=2.03e-04),,22991226,(p=3.01e-04),,22989952,(p=3.02e-04),,19351956,(p=3.03e-04),,15536134,(p=3.06e-04),
25,25,3091,HIF1A,-,2688,302,4.76e-205,16951198,(p=1.25e-04),,21917920,(p=1.26e-04),,23318261,(p=2.01e-04),,21332579,(p=3.04e-04),,19801684,(p=3.05e-04),,16596228,(p=5.01e-04),,20169663,(p=5.01e-04),,20706634,(p=5.02e-04),,17273746,(p=5.03e-04),,24362462,(p=5.03e-04),
26,26,2099,ESR1,-,2923,305,6.337e-198,14506733,(p=1.13e-04),,19117054,(p=1.16e-04),,15557281,(p=1.20e-04),,23714156,(p=1.26e-04),,15746193,(p=1.27e-04),,22056872,(p=1.28e-04),,12527756,(p=2.01e-04),,25801958,(p=2.03e-04),,26768368,(p=3.00e-04),,20388208,(p=3.02e-04),
27,27,4233,MET,-,1039,190,6.414e-198,18053801,(p=1.28e-04),,23348694,(p=3.05e-04),,23671132,(p=3.06e-04),,25908454,(p=4.00e-04),,23992325,(p=4.02e-04),,23381625,(p=5.00e-04),,26580964,(p=5.01e-04),,23536000,(p=6.04e-04),,26847592,(p=8.01e-04),,21500189,(p=9.02e-04),
