,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
19,19,7157,TP53,-,8709,1265,0,22564437,(p=9.69e-05),,22611192,(p=9.71e-05),,28351316,(p=1.02e-04),,26174965,(p=1.03e-04),,28498365,(p=1.03e-04),,24182354,(p=1.05e-04),,22159450,(p=1.06e-04),,26368019,(p=1.09e-04),,21761334,(p=1.09e-04),,24886358,(p=1.10e-04),
20,20,1432,MAPK14,-,1249,325,2.1199862797402e-319,23759594,(p=9.87e-05),,21858220,(p=1.08e-04),,16982329,(p=1.09e-04),,17548358,(p=3.01e-04),,21923922,(p=3.01e-04),,21890458,(p=3.05e-04),,20169663,(p=3.05e-04),,15894558,(p=3.07e-04),,24356814,(p=3.07e-04),,27401020,(p=3.07e-04),
21,21,1017,CDK2,-,717,251,1.254e-306,19225156,(p=9.13e-05),,24444383,(p=1.08e-04),,26555773,(p=1.09e-04),,23446853,(p=3.01e-04),,25860957,(p=3.02e-04),,16205633,(p=3.03e-04),,26890070,(p=3.03e-04),,19556892,(p=3.04e-04),,27663592,(p=3.05e-04),,14681231,(p=3.05e-04),
22,22,25,ABL1,-,740,253,2.522e-305,20482842,(p=8.89e-05),,22447844,(p=9.89e-05),,24967705,(p=9.95e-05),,23934627,(p=1.00e-04),,22089930,(p=1.05e-04),,27856601,(p=1.05e-04),,20585556,(p=1.06e-04),,22314255,(p=1.10e-04),,24487968,(p=1.11e-04),,20152788,(p=1.11e-04),
23,23,4170,MCL1,-,587,230,5.009e-302,25362855,(p=9.87e-05),,25873592,(p=1.01e-04),,17927446,(p=1.04e-04),,25672320,(p=1.10e-04),,20693279,(p=1.11e-04),,22270368,(p=3.03e-04),,27049076,(p=3.03e-04),,19622586,(p=3.03e-04),,21220745,(p=3.05e-04),,24469836,(p=3.05e-04),
24,24,2064,ERBB2,-,2547,416,1.229e-291,18211286,(p=9.31e-05),,25766325,(p=9.33e-05),,20459769,(p=1.01e-04),,26336133,(p=1.07e-04),,20453888,(p=3.02e-04),,16457687,(p=3.03e-04),,23866081,(p=3.03e-04),,18725974,(p=3.04e-04),,22238368,(p=3.04e-04),,18469855,(p=3.06e-04),
25,25,5290,PIK3CA,-,1251,294,2.228e-286,24011934,(p=1.07e-04),,22905202,(p=1.07e-04),,23832540,(p=1.10e-04),,22994717,(p=3.00e-04),,24249715,(p=3.01e-04),,26499488,(p=3.02e-04),,21440011,(p=3.04e-04),,29021135,(p=3.05e-04),,23051731,(p=3.07e-04),,24486107,(p=3.07e-04),
26,26,5747,PTK2,-,828,249,2.212e-286,21590355,(p=1.02e-04),,27293031,(p=1.09e-04),,26892465,(p=3.01e-04),,19671193,(p=3.01e-04),,27736841,(p=3.01e-04),,26962872,(p=3.01e-04),,25193862,(p=3.02e-04),,24091658,(p=3.03e-04),,27009091,(p=3.05e-04),,28533307,(p=3.05e-04),
27,27,1111,CHEK1,-,455,198,1.306e-282,27438145,(p=1.06e-04),,24853431,(p=1.07e-04),,15688426,(p=1.07e-04),,21179472,(p=1.08e-04),,21212274,(p=3.03e-04),,19628579,(p=3.05e-04),,25312395,(p=3.07e-04),,24098799,(p=3.07e-04),,25460505,(p=3.08e-04),,24823293,(p=3.08e-04),
28,28,4790,NFKB1,-,2819,425,3.81e-282,20482842,(p=8.89e-05),,22641218,(p=1.00e-04),,21623171,(p=1.09e-04),,25028470,(p=1.11e-04),,20213318,(p=3.00e-04),,22286758,(p=3.01e-04),,24300974,(p=3.03e-04),,17620428,(p=3.06e-04),,26522725,(p=3.06e-04),,19885551,(p=3.09e-04),
29,29,3480,IGF1R,-,955,236,2.144e-254,23515613,(p=1.09e-04),,25268741,(p=1.10e-04),,26450156,(p=3.00e-04),,20417200,(p=3.01e-04),,23818948,(p=3.04e-04),,26342551,(p=3.04e-04),,17634559,(p=3.05e-04),,22044563,(p=3.07e-04),,26156803,(p=3.07e-04),,23857432,(p=3.08e-04),
