,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
18,18,79870,BAALC,-,39,16,1.379e-36,20306678,(p=1.40e-03),,19943049,(p=1.70e-03),,23672350,(p=2.70e-03),,23647058,(p=3.00e-03),,20841507,(p=4.10e-03),,18378853,(p=4.50e-03),,27662611,(p=4.60e-03),,15604894,(p=4.80e-03),,19555438,(p=5.30e-03),,20535151,(p=6.80e-03),
19,19,54658,UGT1A1,-,610,31,5.287e-35,25055799,(p=2.05e-04),,20216541,(p=1.30e-03),,14586211,(p=1.50e-03),,19349543,(p=1.50e-03),,23881212,(p=1.70e-03),,18685565,(p=2.30e-03),,21150467,(p=2.70e-03),,23236239,(p=2.80e-03),,23053265,(p=3.00e-03),,20530282,(p=3.40e-03),
20,20,2950,GSTP1,-,1450,42,4.432e-34,20303013,(p=1.29e-04),,19005482,(p=7.04e-04),,21169260,(p=1.10e-03),,21156465,(p=1.20e-03),,20216541,(p=1.30e-03),,20459744,(p=1.30e-03),,20734048,(p=1.30e-03),,18580952,(p=1.40e-03),,17512053,(p=1.50e-03),,19786980,(p=1.70e-03),
21,21,2068,ERCC2,-,795,33,6.501e-34,16507781,(p=2.05e-04),,17410042,(p=1.00e-03),,20216541,(p=1.30e-03),,20734048,(p=1.30e-03),,17197435,(p=1.30e-03),,14668933,(p=1.50e-03),,19786980,(p=1.70e-03),,21726821,(p=2.70e-03),,23317281,(p=2.70e-03),,20530282,(p=3.40e-03),
22,22,3815,KIT,-,935,35,6.779e-34,23467883,(p=9.72e-05),,21577323,(p=2.08e-04),,19540337,(p=1.10e-03),,23053179,(p=1.10e-03),,25082877,(p=1.30e-03),,27371698,(p=1.50e-03),,27391574,(p=1.70e-03),,19176031,(p=2.20e-03),,19307738,(p=3.00e-03),,23944364,(p=3.30e-03),
23,23,613,BCR,-,399,25,4.042e-32,22896000,(p=2.08e-04),,22593461,(p=7.01e-04),,20015884,(p=1.40e-03),,27334764,(p=1.40e-03),,21156844,(p=1.50e-03),,27297971,(p=1.50e-03),,23171834,(p=1.70e-03),,23317202,(p=2.60e-03),,16116902,(p=3.30e-03),,23716543,(p=3.40e-03),
24,24,1788,DNMT3A,-,320,23,1.74e-31,28616699,(p=2.06e-04),,27841873,(p=7.01e-04),,26223865,(p=1.00e-03),,28767575,(p=1.30e-03),,21967546,(p=1.30e-03),,25609058,(p=1.30e-03),,26711182,(p=1.40e-03),,21670448,(p=2.00e-03),,27335278,(p=2.30e-03),,25371149,(p=2.70e-03),
25,25,2475,MTOR,-,1679,41,5.387e-31,23693095,(p=4.01e-04),,26892465,(p=7.01e-04),,21277936,(p=7.04e-04),,21943204,(p=1.50e-03),,20960030,(p=1.70e-03),,20630061,(p=2.40e-03),,27693556,(p=2.60e-03),,24718901,(p=2.70e-03),,27235137,(p=2.70e-03),,28151717,(p=2.70e-03),
26,26,4170,MCL1,-,587,27,1.363e-30,27956387,(p=4.02e-04),,17498302,(p=7.00e-04),,21863213,(p=1.00e-03),,19008456,(p=1.50e-03),,25590803,(p=1.70e-03),,27103402,(p=2.70e-03),,24568469,(p=2.90e-03),,27049076,(p=3.10e-03),,26452980,(p=3.60e-03),,19684859,(p=3.80e-03),
27,27,10320,IKZF1,-,225,20,4.499e-30,24724051,(p=2.04e-04),,23773228,(p=2.08e-04),,27067989,(p=1.20e-03),,26119939,(p=2.60e-03),,21740479,(p=2.90e-03),,27322554,(p=3.30e-03),,22699455,(p=3.50e-03),,20445578,(p=3.60e-03),,27979924,(p=4.10e-03),,24402122,(p=4.50e-03),
28,28,673,BRAF,-,1852,41,1.513e-29,26446234,(p=4.01e-04),,27283860,(p=7.01e-04),,23735514,(p=7.04e-04),,26460303,(p=1.30e-03),,25427581,(p=1.30e-03),,22742884,(p=1.40e-03),,26181250,(p=1.40e-03),,27554081,(p=2.60e-03),,27460442,(p=3.10e-03),,25673558,(p=3.30e-03),
