,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
18,18,558,AXL,-,235,90,1.178e-151,27712586,(p=3.04e-04),,25125659,(p=3.08e-04),,20818175,(p=3.10e-04),,23921085,(p=3.11e-04),,22890323,(p=4.01e-04),,25767293,(p=4.01e-04),,27671334,(p=4.03e-04),,28251492,(p=4.03e-04),,25400744,(p=4.04e-04),,27703030,(p=4.05e-04),
19,19,5747,PTK2,-,828,128,1.012e-142,26962872,(p=9.65e-05),,20201928,(p=3.10e-04),,18632638,(p=4.05e-04),,25391374,(p=5.00e-04),,27286256,(p=5.01e-04),,28533307,(p=6.00e-04),,25193862,(p=1.00e-03),,21338601,(p=1.00e-03),,15657067,(p=1.00e-03),,24523919,(p=1.00e-03),
20,20,7157,TP53,-,8709,434,4.738e-142,17409930,(p=2.00e-04),,23652204,(p=3.10e-04),,23613387,(p=3.10e-04),,26060045,(p=4.01e-04),,21527506,(p=4.04e-04),,26512780,(p=4.06e-04),,24182354,(p=9.00e-04),,20811722,(p=9.01e-04),,19740107,(p=1.00e-03),,28285689,(p=1.00e-03),
21,21,367,AR,-,2103,174,1.701e-130,28468774,(p=1.00e-04),,26247526,(p=2.00e-04),,26044568,(p=3.05e-04),,24779793,(p=4.02e-04),,26876202,(p=4.02e-04),,24356815,(p=9.01e-04),,25347744,(p=9.01e-04),,27249694,(p=1.00e-03),,20432460,(p=1.00e-03),,19794963,(p=1.00e-03),
22,22,5594,MAPK1,-,1938,167,3.553e-130,22722337,(p=3.01e-04),,17015027,(p=3.06e-04),,25862004,(p=3.10e-04),,19147502,(p=4.02e-04),,20837468,(p=5.00e-04),,21607585,(p=9.01e-04),,15173068,(p=9.01e-04),,28241849,(p=1.00e-03),,27004400,(p=1.00e-03),,26310353,(p=1.00e-03),
23,23,1950,EGF,-,666,106,4.41e-127,19380191,(p=1.02e-04),,17898861,(p=1.05e-04),,15886816,(p=1.09e-04),,23542467,(p=3.12e-04),,24036907,(p=4.01e-04),,19749156,(p=4.01e-04),,23219876,(p=4.02e-04),,15735691,(p=4.04e-04),,26774845,(p=9.00e-04),,19491269,(p=9.01e-04),
24,24,2260,FGFR1,-,503,95,3.649e-125,26549034,(p=1.00e-04),,23343422,(p=1.00e-04),,23536707,(p=3.11e-04),,25512530,(p=4.04e-04),,26801869,(p=4.05e-04),,25900027,(p=1.00e-03),,21160078,(p=1.00e-03),,26936917,(p=1.00e-03),,28968756,(p=1.00e-03),,24966347,(p=1.01e-03),
25,25,332,BIRC5,-,1116,120,3.439e-118,21402055,(p=8.62e-05),,22075159,(p=2.00e-04),,24563335,(p=3.06e-04),,26392111,(p=3.07e-04),,16847054,(p=3.11e-04),,25895606,(p=4.01e-04),,24387108,(p=4.04e-04),,24886669,(p=4.06e-04),,23323858,(p=1.00e-03),,18593915,(p=1.00e-03),
26,26,7422,VEGFA,-,4154,225,2.438e-117,25889301,(p=9.86e-05),,26802156,(p=4.00e-04),,19755511,(p=9.00e-04),,25410981,(p=9.00e-04),,18494554,(p=9.01e-04),,27727447,(p=1.00e-03),,20485168,(p=1.00e-03),,22222630,(p=1.00e-03),,23435217,(p=1.00e-03),,27362808,(p=1.00e-03),
27,27,3091,HIF1A,-,2688,174,5.847e-115,21966417,(p=9.03e-05),,16847054,(p=3.11e-04),,20154724,(p=4.02e-04),,25748238,(p=4.03e-04),,24670641,(p=5.01e-04),,23785417,(p=9.00e-04),,24472707,(p=9.00e-04),,19435875,(p=9.01e-04),,24522376,(p=9.02e-04),,24248265,(p=1.00e-03),
