,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
18,18,5594,MAPK1,-,1938,269,7.003e-215,28241849,(p=8.50e-05),,24607276,(p=9.58e-05),,26310353,(p=9.85e-05),,17526808,(p=1.01e-04),,20038816,(p=1.07e-04),,20009539,(p=3.01e-04),,22033920,(p=4.02e-04),,20203690,(p=5.01e-04),,25862004,(p=5.01e-04),,19633425,(p=5.01e-04),
19,19,3480,IGF1R,-,955,195,1.409e-210,23515613,(p=9.67e-05),,23663564,(p=9.77e-05),,23818948,(p=9.97e-05),,16584539,(p=1.02e-04),,25268741,(p=1.05e-04),,21372220,(p=1.06e-04),,20417200,(p=1.06e-04),,16113100,(p=3.01e-04),,27105537,(p=3.01e-04),,17047074,(p=3.01e-04),
20,20,8743,TNFSF10,-,776,177,1.383e-206,20417200,(p=1.06e-04),,17431115,(p=4.00e-04),,21695716,(p=8.00e-04),,23053497,(p=8.01e-04),,12140294,(p=8.03e-04),,22462553,(p=9.01e-04),,26381901,(p=9.01e-04),,23699656,(p=1.00e-03),,17420249,(p=1.00e-03),,23456625,(p=1.00e-03),
21,21,983,CDK1,-,764,172,1.269e-201,26029996,(p=1.01e-04),,16205633,(p=1.03e-04),,24444383,(p=1.04e-04),,28869606,(p=1.04e-04),,23471882,(p=1.06e-04),,21878504,(p=1.06e-04),,27486754,(p=3.01e-04),,25947085,(p=3.02e-04),,21406398,(p=4.02e-04),,22482362,(p=5.01e-04),
22,22,2932,GSK3B,-,1118,196,3.387e-198,24327518,(p=9.88e-05),,22534782,(p=1.02e-04),,27050373,(p=1.03e-04),,23729362,(p=1.05e-04),,23204235,(p=2.00e-04),,27424289,(p=2.00e-04),,24239461,(p=3.01e-04),,19060929,(p=4.02e-04),,20920357,(p=5.00e-04),,22286758,(p=5.00e-04),
23,23,595,CCND1,-,1381,213,3.002e-197,27226604,(p=1.04e-04),,28349562,(p=1.06e-04),,19757306,(p=3.00e-04),,15377668,(p=4.01e-04),,16985050,(p=4.02e-04),,19556892,(p=5.01e-04),,19633425,(p=5.01e-04),,20072652,(p=7.00e-04),,15505422,(p=7.01e-04),,18431519,(p=8.00e-04),
24,24,4790,NFKB1,-,2819,298,5.201e-197,25028470,(p=9.68e-05),,21623171,(p=9.94e-05),,22641218,(p=1.04e-04),,19885551,(p=4.03e-04),,22286758,(p=5.00e-04),,20482842,(p=5.00e-04),,26522725,(p=5.01e-04),,24300974,(p=5.02e-04),,17620428,(p=7.00e-04),,20126979,(p=8.01e-04),
25,25,4609,MYC,-,1745,234,2.2e-195,27076630,(p=9.35e-05),,21054888,(p=9.87e-05),,18722373,(p=1.00e-04),,25411027,(p=1.01e-04),,21949397,(p=1.01e-04),,25739120,(p=1.03e-04),,24444383,(p=1.04e-04),,27226604,(p=1.04e-04),,26917778,(p=1.06e-04),,28075459,(p=1.07e-04),
26,26,5595,MAPK3,-,1306,200,2.792e-189,17526808,(p=1.01e-04),,20038816,(p=1.07e-04),,24239461,(p=3.01e-04),,20009539,(p=3.01e-04),,20203690,(p=5.01e-04),,12689928,(p=5.02e-04),,21444628,(p=1.00e-03),,27259234,(p=1.00e-03),,20087064,(p=1.10e-03),,27152455,(p=1.10e-03),
27,27,6198,RPS6KB1,-,354,124,6.086e-188,25061101,(p=1.06e-04),,22110663,(p=2.00e-04),,18025271,(p=3.01e-04),,29305864,(p=3.02e-04),,18652687,(p=4.01e-04),,24729449,(p=5.02e-04),,25379021,(p=6.00e-04),,25134527,(p=8.01e-04),,21424608,(p=8.01e-04),,19881535,(p=8.01e-04),
28,28,4613,MYCN,-,339,121,9.43e-186,26202950,(p=1.02e-04),,27707976,(p=1.03e-04),,24419085,(p=1.03e-04),,21173028,(p=1.04e-04),,19111882,(p=1.06e-04),,28209620,(p=1.06e-04),,18278068,(p=1.06e-04),,24190252,(p=3.02e-04),,24282277,(p=5.01e-04),,18003922,(p=5.01e-04),
29,29,1017,CDK2,-,717,152,2.652e-181,22479189,(p=9.72e-05),,26555773,(p=9.81e-05),,16205633,(p=1.03e-04),,24444383,(p=1.04e-04),,26890070,(p=1.04e-04),,27629878,(p=4.02e-04),,16985050,(p=4.02e-04),,19225156,(p=4.02e-04),,28655764,(p=5.00e-04),,18156799,(p=5.01e-04),
30,30,596,BCL2,-,1761,210,1.163e-173,28379541,(p=1.05e-04),,24599950,(p=1.06e-04),,25815462,(p=1.06e-04),,25384499,(p=3.02e-04),,25885284,(p=3.02e-04),,28428442,(p=4.02e-04),,26874859,(p=5.00e-04),,28652654,(p=5.01e-04),,20045442,(p=5.02e-04),,20072652,(p=7.00e-04),
31,31,2146,EZH2,-,780,150,4.594e-173,25890085,(p=1.06e-04),,26631032,(p=7.00e-04),,16963837,(p=8.00e-04),,26304929,(p=8.01e-04),,23190500,(p=8.01e-04),,21321380,(p=8.03e-04),,21406404,(p=9.00e-04),,23893242,(p=9.01e-04),,19079346,(p=1.00e-03),,27172794,(p=1.00e-03),
