,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
18,18,3480,IGF1R,-,955,84,2.667e-86,20417200,(p=1.07e-04),,26112748,(p=3.02e-04),,20713879,(p=5.13e-04),,26497996,(p=6.01e-04),,25617986,(p=7.02e-04),,23515613,(p=7.03e-04),,28498399,(p=1.30e-03),,25081930,(p=1.40e-03),,24026884,(p=1.40e-03),,24410957,(p=1.40e-03),
19,19,4170,MCL1,-,587,69,2.821e-84,27765849,(p=1.16e-04),,27351224,(p=1.16e-04),,26636651,(p=5.10e-04),,17927446,(p=5.10e-04),,25873592,(p=5.11e-04),,20038816,(p=9.00e-04),,19684859,(p=2.00e-03),,25756510,(p=2.00e-03),,19523441,(p=2.40e-03),,23883584,(p=2.40e-03),
20,20,1432,MAPK14,-,1249,91,5.502e-84,21858220,(p=5.08e-04),,23579276,(p=5.13e-04),,21923922,(p=5.16e-04),,24356814,(p=5.17e-04),,19633425,(p=6.01e-04),,19885551,(p=6.01e-04),,26407843,(p=7.00e-04),,12698197,(p=1.00e-03),,22053010,(p=1.10e-03),,18047584,(p=1.30e-03),
21,21,5595,MAPK3,-,1306,90,2.021e-81,23076151,(p=4.08e-04),,17526808,(p=5.11e-04),,22277029,(p=5.14e-04),,23349307,(p=5.16e-04),,15243131,(p=8.01e-04),,20038816,(p=9.00e-04),,27036313,(p=1.00e-03),,19729990,(p=1.20e-03),,25846811,(p=1.40e-03),,22388352,(p=2.00e-03),
22,22,1111,CHEK1,-,455,55,2.461e-72,27815358,(p=5.16e-04),,24113549,(p=7.03e-04),,24810059,(p=1.40e-03),,24098799,(p=2.00e-03),,25460505,(p=2.00e-03),,25084614,(p=2.20e-03),,26527132,(p=2.50e-03),,24913641,(p=2.50e-03),,25474241,(p=3.00e-03),,27512067,(p=3.00e-03),
23,23,5133,PDCD1,-,584,58,3.132e-70,27354668,(p=1.13e-04),,27534574,(p=3.03e-04),,27059553,(p=4.00e-04),,27540850,(p=4.07e-04),,24815784,(p=5.02e-04),,29489833,(p=5.09e-04),,18494554,(p=5.13e-04),,27470968,(p=5.14e-04),,25349974,(p=5.14e-04),,23907003,(p=5.15e-04),
24,24,7157,TP53,-,8709,221,8.807e-70,27911979,(p=1.13e-04),,26790143,(p=2.01e-04),,26582795,(p=4.08e-04),,22096025,(p=5.07e-04),,27927748,(p=5.11e-04),,27863474,(p=5.11e-04),,21289082,(p=5.15e-04),,26512780,(p=5.17e-04),,27611608,(p=7.01e-04),,26431163,(p=8.00e-04),
25,25,5156,PDGFRA,-,440,50,4.119e-66,18615679,(p=3.02e-04),,21131919,(p=5.06e-04),,24132921,(p=5.12e-04),,26549034,(p=8.00e-04),,24634380,(p=1.40e-03),,19675092,(p=1.40e-03),,25621775,(p=2.00e-03),,27477693,(p=2.00e-03),,26544626,(p=2.20e-03),,25380967,(p=2.30e-03),
26,26,558,AXL,-,235,38,6.77e-60,27927748,(p=5.11e-04),,27671334,(p=7.02e-04),,25767293,(p=7.02e-04),,21796150,(p=1.30e-03),,22890323,(p=1.40e-03),,28251492,(p=1.40e-03),,21132014,(p=1.90e-03),,25637219,(p=2.00e-03),,27856601,(p=2.30e-03),,24240689,(p=2.40e-03),
27,27,332,BIRC5,-,1116,63,1.076e-59,21470426,(p=1.20e-03),,18593915,(p=1.50e-03),,21367753,(p=2.40e-03),,22075159,(p=2.40e-03),,24387108,(p=2.40e-03),,19676105,(p=2.50e-03),,22723337,(p=3.10e-03),,24563335,(p=3.70e-03),,16847054,(p=3.70e-03),,22680927,(p=3.70e-03),
