,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
19,19,2051,EPHB6,-,60,11,0,20371680,(p=2.20e-03),,27418135,(p=2.50e-03),,19513565,(p=3.10e-03),,27145271,(p=3.40e-03),,18754880,(p=4.90e-03),,27788485,(p=5.10e-03),,23226491,(p=5.30e-03),,14612926,(p=7.20e-03),,20086179,(p=8.10e-03),,19234485,(p=9.00e-03),
20,20,54739,XAF1,-,71,13,0,23323858,(p=1.10e-03),,28534973,(p=1.20e-03),,19358264,(p=2.40e-03),,19628579,(p=2.60e-03),,22759793,(p=5.00e-03),,25539606,(p=5.30e-03),,18830757,(p=6.10e-03),,25824780,(p=6.70e-03),,19056926,(p=6.90e-03),,23645206,(p=7.70e-03),
21,21,10188,TNK2,-,104,19,0,20359967,(p=4.03e-04),,22322295,(p=6.01e-04),,18435854,(p=7.02e-04),,25148682,(p=7.03e-04),,24461128,(p=7.05e-04),,25347744,(p=1.30e-03),,26677978,(p=2.70e-03),,17494760,(p=2.90e-03),,23208506,(p=3.00e-03),,20432460,(p=3.50e-03),
22,22,29904,EEF2K,-,69,12,0,22911754,(p=7.04e-04),,26918606,(p=7.05e-04),,25215932,(p=1.00e-03),,21278783,(p=3.00e-03),,22932089,(p=3.30e-03),,24955726,(p=4.10e-03),,25330770,(p=6.10e-03),,29094413,(p=7.10e-03),,20300520,(p=7.10e-03),,24193916,(p=8.22e-03),
23,23,27043,PELP1,-,100,17,0,24469035,(p=7.00e-04),,24688046,(p=7.05e-04),,17804729,(p=3.30e-03),,25788226,(p=3.40e-03),,15466214,(p=3.60e-03),,23975430,(p=4.10e-03),,18079323,(p=4.10e-03),,19800002,(p=4.60e-03),,21421858,(p=4.80e-03),,18505929,(p=4.90e-03),
24,24,51330,TNFRSF12A,-,100,17,0,22634180,(p=9.66e-05),,25392346,(p=4.03e-04),,23722548,(p=6.03e-04),,24469836,(p=7.04e-04),,28103571,(p=1.80e-03),,21828059,(p=3.00e-03),,18505918,(p=3.00e-03),,25054270,(p=3.40e-03),,23443741,(p=3.60e-03),,21483105,(p=3.60e-03),
25,25,7301,TYRO3,-,66,11,0,28184013,(p=1.00e-03),,21343401,(p=2.40e-03),,26573872,(p=2.90e-03),,25815442,(p=4.10e-03),,25074926,(p=4.90e-03),,19805117,(p=4.90e-03),,29024938,(p=7.33e-03),,18620092,(p=8.00e-03),,24982338,(p=8.10e-03),,10627473,(p=8.60e-03),
26,26,660,BMX,-,67,11,0,24606948,(p=7.02e-04),,27101199,(p=1.00e-03),,18413754,(p=1.00e-03),,16912182,(p=1.80e-03),,21408190,(p=2.60e-03),,25649765,(p=4.90e-03),,20559570,(p=4.90e-03),,28422715,(p=6.70e-03),,20206622,(p=8.10e-03),,21339702,(p=8.80e-03),
27,27,10298,PAK4,-,128,21,0,20926745,(p=6.00e-04),,23254288,(p=6.03e-04),,22085492,(p=1.10e-03),,25975262,(p=1.90e-03),,22689056,(p=2.40e-03),,27919028,(p=3.40e-03),,28407679,(p=3.50e-03),,25238288,(p=3.60e-03),,26218748,(p=4.40e-03),,23229348,(p=4.90e-03),
28,28,10653,SPINT2,-,69,11,0,12571229,(p=1.00e-03),,24121274,(p=2.80e-03),,14734471,(p=3.20e-03),,17255277,(p=3.20e-03),,12180971,(p=5.60e-03),,15930277,(p=6.00e-03),,25852190,(p=7.10e-03),,14558597,(p=8.10e-03),,20715109,(p=8.30e-03),,12569552,(p=9.00e-03),
29,29,2277,VEGFD,-,132,21,0,16152591,(p=7.05e-04),,22071224,(p=1.10e-03),,22965194,(p=2.80e-03),,27211072,(p=3.00e-03),,20626397,(p=3.30e-03),,24515257,(p=3.40e-03),,28202529,(p=3.60e-03),,17970036,(p=4.90e-03),,18941249,(p=5.00e-03),,19275959,(p=5.00e-03),
30,30,79444,BIRC7,-,120,19,0,26094984,(p=6.03e-04),,24023847,(p=1.00e-03),,27677286,(p=1.20e-03),,19914791,(p=1.50e-03),,24220265,(p=1.60e-03),,23524337,(p=1.60e-03),,23188704,(p=2.00e-03),,28440463,(p=2.20e-03),,22086237,(p=3.00e-03),,22766624,(p=3.20e-03),
31,31,8569,MKNK1,-,76,12,0,21406405,(p=7.03e-04),,22249268,(p=1.00e-03),,24401275,(p=2.00e-03),,27618366,(p=2.20e-03),,21949767,(p=2.30e-03),,25605250,(p=3.70e-03),,15516979,(p=5.50e-03),,20686366,(p=5.80e-03),,17130135,(p=6.10e-03),,29045529,(p=6.60e-03),
32,32,8682,PEA15,-,84,13,0,22144664,(p=1.02e-04),,27317964,(p=2.20e-03),,26470725,(p=2.20e-03),,23481023,(p=2.40e-03),,19010903,(p=3.50e-03),,27669502,(p=3.70e-03),,22213050,(p=5.00e-03),,16170361,(p=5.90e-03),,18284607,(p=6.70e-03),,17700518,(p=6.80e-03),
33,33,51147,ING4,-,97,15,0,20707719,(p=1.00e-03),,26936485,(p=1.10e-03),,25571952,(p=1.20e-03),,27421660,(p=2.60e-03),,23969950,(p=3.30e-03),,24130172,(p=3.60e-03),,27471108,(p=4.10e-03),,19034511,(p=5.00e-03),,25490312,(p=5.60e-03),,19430401,(p=5.80e-03),
34,34,7022,TFAP2C,-,66,10,0,27593936,(p=5.00e-04),,24045439,(p=5.03e-04),,27885255,(p=3.30e-03),,23334330,(p=3.40e-03),,22964634,(p=3.60e-03),,12226108,(p=4.60e-03),,15569994,(p=7.30e-03),,19798054,(p=7.50e-03),,16867219,(p=7.90e-03),,17875680,(p=8.50e-03),
35,35,10461,MERTK,-,121,18,0,23585477,(p=9.58e-05),,28251492,(p=1.07e-04),,22890323,(p=5.02e-04),,27649555,(p=7.01e-04),,25826078,(p=8.00e-04),,28184013,(p=1.00e-03),,23353780,(p=2.40e-03),,27753136,(p=2.60e-03),,23065156,(p=3.50e-03),,23474756,(p=4.40e-03),
36,36,6692,SPINT1,-,74,11,0,28618968,(p=6.01e-04),,24147538,(p=7.05e-04),,27356668,(p=1.60e-03),,19578736,(p=3.50e-03),,20213201,(p=4.90e-03),,17389401,(p=5.70e-03),,20977675,(p=7.70e-03),,21795523,(p=8.00e-03),,20715109,(p=8.30e-03),,25925948,(p=8.50e-03),
37,37,23213,SULF1,-,103,15,0,16778174,(p=6.02e-04),,21853101,(p=8.01e-04),,21594647,(p=1.00e-03),,12686563,(p=1.00e-03),,27806323,(p=1.10e-03),,19373441,(p=1.20e-03),,24970807,(p=1.80e-03),,20083228,(p=1.90e-03),,23684551,(p=2.20e-03),,17363371,(p=2.40e-03),
38,38,5364,PLXNB1,-,71,10,0,22378040,(p=1.30e-03),,23775445,(p=1.60e-03),,24114199,(p=3.60e-03),,26051877,(p=4.10e-03),,25982277,(p=4.40e-03),,22028792,(p=4.90e-03),,20164843,(p=6.00e-03),,21812859,(p=6.40e-03),,21059203,(p=8.40e-03),,15184888,(p=9.80e-03),
39,39,8828,NRP2,-,107,15,0,28096505,(p=1.01e-04),,22971992,(p=4.01e-04),,21747928,(p=6.04e-04),,18182619,(p=7.00e-04),,9872925,(p=2.80e-03),,26026587,(p=3.50e-03),,20851535,(p=3.70e-03),,21245381,(p=5.00e-03),,24121493,(p=5.00e-03),,26560516,(p=6.70e-03),
40,40,51701,NLK,-,80,11,0,26503334,(p=2.80e-03),,26269673,(p=4.20e-03),,28003306,(p=4.30e-03),,12901858,(p=4.90e-03),,23416699,(p=5.30e-03),,26647877,(p=5.30e-03),,24460265,(p=7.60e-03),,27036119,(p=7.60e-03),,20512928,(p=8.60e-03),,23904219,(p=9.61e-03),
41,41,5163,PDK1,-,74,10,0,28249908,(p=1.04e-04),,25976231,(p=7.05e-04),,26433571,(p=1.00e-03),,28617852,(p=1.10e-03),,26876212,(p=2.90e-03),,21763680,(p=4.90e-03),,18541534,(p=5.10e-03),,27878287,(p=7.50e-03),,23135628,(p=7.70e-03),,26593251,(p=8.00e-03),
42,42,6241,RRM2,-,106,14,0,19568409,(p=7.00e-04),,26333382,(p=1.10e-03),,14661056,(p=2.10e-03),,23719266,(p=3.70e-03),,24423925,(p=4.00e-03),,19416980,(p=4.50e-03),,25016594,(p=4.90e-03),,18278438,(p=5.00e-03),,27517489,(p=6.40e-03),,23002339,(p=8.00e-03),
43,43,4082,MARCKS,-,99,13,0,28166200,(p=9.29e-05),,25524703,(p=5.02e-04),,25179733,(p=7.03e-04),,24662837,(p=1.10e-03),,26722462,(p=3.10e-03),,23876235,(p=3.50e-03),,19302977,(p=3.60e-03),,19773446,(p=4.10e-03),,25318062,(p=4.20e-03),,26015406,(p=4.90e-03),
44,44,6659,SOX4,-,130,17,0,23917306,(p=1.20e-03),,26252944,(p=3.20e-03),,23389731,(p=3.20e-03),,25644061,(p=3.70e-03),,26578818,(p=3.70e-03),,28088579,(p=4.10e-03),,26352673,(p=5.30e-03),,19147588,(p=5.60e-03),,28450532,(p=5.90e-03),,26377202,(p=6.80e-03),
45,45,4923,NTSR1,-,78,10,0,25249538,(p=9.18e-05),,25249545,(p=5.04e-04),,27611941,(p=3.20e-03),,24357116,(p=3.30e-03),,25644759,(p=3.60e-03),,20810387,(p=3.60e-03),,29065410,(p=7.90e-03),,19156213,(p=7.90e-03),,21725197,(p=8.00e-03),,26215716,(p=8.20e-03),
