,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
18,18,9429,ABCG2,-,705,33,1.753e-35,19032367,(p=7.35e-05),,21625222,(p=2.10e-04),,17875533,(p=6.01e-04),,12576456,(p=1.00e-03),,26059733,(p=1.40e-03),,26178481,(p=1.50e-03),,12145683,(p=1.70e-03),,18824712,(p=2.10e-03),,19885582,(p=2.60e-03),,27178373,(p=3.30e-03),
19,19,29126,CD274,-,734,29,2.793e-30,24732592,(p=2.00e-04),,28275115,(p=8.02e-04),,28230773,(p=8.05e-04),,27419920,(p=1.40e-03),,28842748,(p=1.70e-03),,28351581,(p=2.40e-03),,26352784,(p=3.30e-03),,27595782,(p=4.00e-03),,26424759,(p=5.00e-03),,28152514,(p=5.20e-03),
20,20,332,BIRC5,-,1116,32,2.206e-28,22528517,(p=6.00e-04),,25294423,(p=1.30e-03),,26356696,(p=1.50e-03),,24961465,(p=1.90e-03),,24886669,(p=2.10e-03),,21041181,(p=2.50e-03),,21826474,(p=2.60e-03),,22968628,(p=3.10e-03),,24127439,(p=3.60e-03),,26497847,(p=3.90e-03),
21,21,931,MS4A1,-,126,16,1.932e-27,26398317,(p=2.14e-04),,19054557,(p=4.01e-04),,18006839,(p=8.01e-04),,27090891,(p=8.03e-04),,19246561,(p=1.00e-03),,23031227,(p=1.50e-03),,27528699,(p=3.50e-03),,16923555,(p=4.00e-03),,19276251,(p=4.10e-03),,19513562,(p=4.30e-03),
22,22,2068,ERCC2,-,795,27,3.953e-27,19786980,(p=8.02e-04),,20734048,(p=8.06e-04),,17410042,(p=9.01e-04),,23317281,(p=1.40e-03),,14668933,(p=1.90e-03),,16507781,(p=2.60e-03),,21890746,(p=2.80e-03),,20216541,(p=3.30e-03),,17197435,(p=3.30e-03),,22608006,(p=3.50e-03),
23,23,2475,MTOR,-,1679,36,9.267e-27,23693095,(p=4.03e-04),,27693556,(p=6.01e-04),,20960030,(p=7.00e-04),,25215588,(p=8.03e-04),,26892465,(p=8.05e-04),,26549638,(p=1.30e-03),,21943204,(p=1.40e-03),,21277936,(p=1.60e-03),,20630061,(p=2.40e-03),,19757306,(p=2.60e-03),
24,24,7422,VEGFA,-,4154,55,1.315e-25,22129133,(p=4.03e-04),,20026801,(p=4.04e-04),,11940485,(p=4.06e-04),,19047116,(p=8.06e-04),,18494554,(p=9.00e-04),,19701853,(p=9.00e-04),,22882209,(p=1.40e-03),,27362808,(p=1.50e-03),,27177865,(p=1.70e-03),,20631636,(p=1.70e-03),
25,25,5133,PDCD1,-,584,23,1.349e-25,27354476,(p=2.11e-04),,24127452,(p=2.12e-04),,23331211,(p=4.04e-04),,18494554,(p=9.00e-04),,19224853,(p=2.10e-03),,28643044,(p=2.60e-03),,26678894,(p=2.60e-03),,28468799,(p=2.60e-03),,28403071,(p=4.10e-03),,27354668,(p=4.10e-03),
26,26,5290,PIK3CA,-,1251,30,3.67e-25,25215588,(p=8.03e-04),,26947331,(p=1.30e-03),,19029838,(p=1.90e-03),,27672108,(p=2.30e-03),,25909227,(p=3.20e-03),,22351695,(p=3.30e-03),,27864574,(p=3.40e-03),,27177864,(p=3.50e-03),,27573562,(p=3.60e-03),,24231454,(p=3.60e-03),
27,27,27086,FOXP1,-,150,15,1.959e-24,26500140,(p=8.11e-05),,21947824,(p=1.01e-04),,27224915,(p=5.01e-04),,21934230,(p=8.04e-04),,19141121,(p=1.90e-03),,27924626,(p=3.10e-03),,16636337,(p=3.10e-03),,15709173,(p=3.30e-03),,19448593,(p=5.30e-03),,26787899,(p=6.80e-03),
28,28,4170,MCL1,-,587,22,2.417e-24,25882699,(p=1.90e-03),,19008456,(p=1.90e-03),,21863213,(p=1.90e-03),,27956387,(p=2.10e-03),,25590803,(p=2.60e-03),,27049076,(p=3.40e-03),,23257783,(p=3.50e-03),,24568469,(p=4.00e-03),,24469836,(p=4.00e-03),,15126604,(p=5.40e-03),
29,29,54658,UGT1A1,-,610,22,5.251e-24,25055799,(p=8.02e-04),,14586211,(p=1.70e-03),,19349543,(p=1.90e-03),,18685565,(p=2.60e-03),,21150467,(p=3.30e-03),,20216541,(p=3.30e-03),,23053265,(p=3.40e-03),,20860988,(p=3.50e-03),,23236239,(p=4.10e-03),,17409981,(p=4.10e-03),
30,30,6240,RRM1,-,141,14,5.036e-23,20868593,(p=3.50e-03),,24024897,(p=4.00e-03),,24215511,(p=4.20e-03),,18483375,(p=4.40e-03),,26083014,(p=4.60e-03),,23982437,(p=6.40e-03),,25078585,(p=6.40e-03),,19002265,(p=6.40e-03),,19552012,(p=7.20e-03),,20627363,(p=8.70e-03),
31,31,648,BMI1,-,454,19,1.1e-22,24913180,(p=1.50e-03),,28260023,(p=2.10e-03),,28122538,(p=2.60e-03),,15931389,(p=3.40e-03),,27506934,(p=4.00e-03),,23700898,(p=5.80e-03),,28857013,(p=6.40e-03),,21309753,(p=6.40e-03),,26935956,(p=6.80e-03),,26546432,(p=6.90e-03),
32,32,673,BRAF,-,1852,31,1.369e-21,27283860,(p=8.01e-04),,26446234,(p=8.02e-04),,23735514,(p=1.30e-03),,26460303,(p=1.90e-03),,25427581,(p=1.90e-03),,22742884,(p=3.30e-03),,27775691,(p=3.30e-03),,19255327,(p=3.60e-03),,26181250,(p=4.10e-03),,28135039,(p=4.30e-03),
33,33,10381,TUBB3,-,198,14,5.945e-21,23853246,(p=4.03e-04),,19828208,(p=2.60e-03),,20868593,(p=3.50e-03),,29491095,(p=4.10e-03),,21315408,(p=5.20e-03),,21586171,(p=6.20e-03),,16061864,(p=6.40e-03),,18977553,(p=8.40e-03),,20403547,(p=8.70e-03),,12789263,(p=9.10e-03),
34,34,4363,ABCC1,-,326,16,6.424e-21,17875533,(p=6.01e-04),,22871336,(p=8.05e-04),,12576456,(p=1.00e-03),,19885582,(p=2.60e-03),,18316614,(p=3.10e-03),,24145283,(p=3.30e-03),,24382439,(p=4.00e-03),,24024181,(p=4.10e-03),,20530282,(p=4.60e-03),,17203221,(p=5.10e-03),
35,35,2944,GSTM1,-,2046,31,1.674e-20,20303013,(p=7.06e-05),,28039708,(p=2.08e-04),,20459744,(p=8.01e-04),,19786980,(p=8.02e-04),,19005482,(p=1.90e-03),,11230469,(p=1.90e-03),,18581889,(p=2.80e-03),,20216541,(p=3.30e-03),,15717164,(p=3.30e-03),,21916526,(p=3.30e-03),
