,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
18,18,332,BIRC5,-,1116,279,8.352e-289,23167260,(p=1.03e-04),,17638911,(p=1.04e-04),,18708766,(p=2.07e-04),,21757750,(p=3.03e-04),,22407831,(p=3.04e-04),,25605253,(p=3.05e-04),,19440933,(p=3.08e-04),,20698994,(p=3.09e-04),,24478433,(p=3.09e-04),,21367753,(p=4.01e-04),
19,19,1027,CDKN1B,-,929,257,3.534e-286,17311291,(p=1.01e-04),,15557281,(p=1.02e-04),,21054888,(p=1.03e-04),,26682002,(p=1.05e-04),,23982416,(p=1.10e-04),,18393360,(p=2.09e-04),,23184467,(p=3.03e-04),,23907123,(p=3.07e-04),,25821107,(p=3.08e-04),,20143334,(p=3.08e-04),
20,20,5728,PTEN,-,1903,345,3.265e-282,24292675,(p=1.02e-04),,17912443,(p=1.02e-04),,19574087,(p=1.06e-04),,17873065,(p=2.00e-04),,19158375,(p=2.02e-04),,18324520,(p=3.09e-04),,28349562,(p=3.09e-04),,24491799,(p=3.10e-04),,24788349,(p=4.02e-04),,25550771,(p=6.02e-04),
21,21,2033,EP300,-,1045,260,1.295e-275,19539243,(p=9.85e-05),,19961954,(p=1.02e-04),,22116549,(p=1.03e-04),,19062177,(p=1.03e-04),,22266186,(p=1.10e-04),,20935208,(p=1.11e-04),,27452907,(p=2.00e-04),,20438716,(p=2.02e-04),,14968110,(p=2.04e-04),,20388208,(p=2.04e-04),
22,22,595,CCND1,-,1381,292,1.324e-275,18949380,(p=1.01e-04),,17606765,(p=1.10e-04),,15713663,(p=2.04e-04),,17344214,(p=2.09e-04),,12138206,(p=2.09e-04),,15870300,(p=3.03e-04),,20484017,(p=3.06e-04),,26279304,(p=3.06e-04),,17881732,(p=3.08e-04),,19440933,(p=3.08e-04),
23,23,9759,HDAC4,-,250,156,2.725e-274,27660204,(p=9.57e-05),,27196750,(p=9.98e-05),,20383178,(p=1.07e-04),,21917920,(p=1.08e-04),,16528103,(p=1.08e-04),,15619633,(p=1.09e-04),,16951198,(p=1.10e-04),,21242980,(p=1.11e-04),,18227124,(p=1.11e-04),,24830600,(p=1.11e-04),
24,24,4170,MCL1,-,587,206,2.921e-271,22456335,(p=8.74e-05),,17927446,(p=3.02e-04),,19503096,(p=3.05e-04),,27049076,(p=4.01e-04),,29287727,(p=5.01e-04),,26603262,(p=6.00e-04),,19684859,(p=6.02e-04),,25789974,(p=6.02e-04),,21863213,(p=6.03e-04),,24568469,(p=6.03e-04),
25,25,3091,HIF1A,-,2688,391,3.549e-269,21917920,(p=1.08e-04),,16951198,(p=1.10e-04),,21332579,(p=2.07e-04),,23318261,(p=2.09e-04),,16543236,(p=3.00e-04),,19801684,(p=3.03e-04),,24726658,(p=3.07e-04),,16596228,(p=3.07e-04),,17273746,(p=3.07e-04),,20706634,(p=4.00e-04),
26,26,2099,ESR1,-,2923,393,1.989e-258,25503779,(p=9.06e-05),,19117054,(p=9.55e-05),,14506733,(p=9.57e-05),,22056872,(p=1.02e-04),,15557281,(p=1.02e-04),,15746193,(p=1.07e-04),,25801958,(p=1.12e-04),,23714156,(p=2.00e-04),,12527756,(p=2.02e-04),,20388208,(p=2.04e-04),
27,27,5970,RELA,-,1309,254,1.493e-243,21816815,(p=1.03e-04),,12138131,(p=2.00e-04),,16683270,(p=2.01e-04),,16483679,(p=2.09e-04),,11564889,(p=3.05e-04),,22689577,(p=3.07e-04),,16319923,(p=3.07e-04),,20706634,(p=4.00e-04),,20482821,(p=4.02e-04),,22634383,(p=4.03e-04),
