,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
19,19,415116,PIM3,-,46,12,0,26075720,(p=5.03e-04),,23760491,(p=9.01e-04),,27448973,(p=1.70e-03),,25817345,(p=2.30e-03),,27638830,(p=2.90e-03),,24789328,(p=3.60e-03),,28698206,(p=3.60e-03),,21187426,(p=4.70e-03),,24165482,(p=4.70e-03),,18593906,(p=5.60e-03),
20,20,6774,STAT3,-,2272,580,0,28376152,(p=8.89e-05),,27419630,(p=9.53e-05),,19861436,(p=9.54e-05),,24401319,(p=9.59e-05),,23894143,(p=9.92e-05),,26921327,(p=9.96e-05),,26238612,(p=1.00e-04),,26781210,(p=1.01e-04),,25609248,(p=1.01e-04),,23838182,(p=1.01e-04),
21,21,2069,EREG,-,59,15,0,24330607,(p=2.02e-04),,26215578,(p=5.05e-04),,19138957,(p=9.00e-04),,27270421,(p=1.00e-03),,24800946,(p=1.00e-03),,24470554,(p=1.00e-03),,22964644,(p=2.20e-03),,26958807,(p=3.60e-03),,23829318,(p=5.10e-03),,16888076,(p=5.60e-03),
22,22,54739,XAF1,-,71,18,0,19358264,(p=1.70e-03),,19628579,(p=1.70e-03),,16801630,(p=2.00e-03),,28534973,(p=2.70e-03),,23323858,(p=3.40e-03),,22759793,(p=3.60e-03),,17570219,(p=3.60e-03),,19922503,(p=4.40e-03),,25824780,(p=4.70e-03),,24249729,(p=5.60e-03),
23,23,200734,SPRED2,-,41,10,0,15683364,(p=2.40e-03),,27827315,(p=4.10e-03),,23169297,(p=4.60e-03),,16652141,(p=5.10e-03),,17974561,(p=6.10e-03),,15946934,(p=6.50e-03),,22305891,(p=7.10e-03),,11493923,(p=7.30e-03),,21364986,(p=7.60e-03),,21703232,(p=8.10e-03),
24,24,7301,TYRO3,-,66,16,0,28184013,(p=2.02e-04),,21343401,(p=1.10e-03),,25815442,(p=1.40e-03),,19805117,(p=1.70e-03),,10627473,(p=4.00e-03),,26573872,(p=4.10e-03),,23570341,(p=4.30e-03),,29024938,(p=4.70e-03),,25074926,(p=5.10e-03),,23632195,(p=5.60e-03),
25,25,64798,DEPTOR,-,59,14,0,22160218,(p=3.00e-04),,26896556,(p=5.05e-04),,27211906,(p=9.01e-04),,26992219,(p=1.10e-03),,25810016,(p=1.40e-03),,26893358,(p=1.50e-03),,23503641,(p=2.20e-03),,19446321,(p=3.80e-03),,23613505,(p=4.70e-03),,22017876,(p=5.00e-03),
26,26,10818,FRS2,-,76,18,0,26096936,(p=4.02e-04),,25900027,(p=5.01e-04),,28077787,(p=2.20e-03),,16284401,(p=2.40e-03),,10822386,(p=3.60e-03),,23393200,(p=4.40e-03),,12974390,(p=4.40e-03),,25159185,(p=4.70e-03),,12419216,(p=4.80e-03),,19652666,(p=5.10e-03),
27,27,2619,GAS1,-,39,9,0,27401611,(p=1.70e-03),,19460624,(p=4.30e-03),,11356029,(p=5.50e-03),,18394855,(p=6.80e-03),,26215053,(p=8.30e-03),,15070677,(p=8.60e-03),,23254899,(p=8.70e-03),,16551639,(p=9.10e-03),,19638344,(p=9.70e-03),,NA,
28,28,2064,ERBB2,-,2547,583,0,25766325,(p=7.92e-05),,24044505,(p=8.19e-05),,28468774,(p=8.20e-05),,27358485,(p=8.79e-05),,20459769,(p=9.00e-05),,18408761,(p=9.02e-05),,18211286,(p=9.17e-05),,24227890,(p=9.53e-05),,17473658,(p=9.64e-05),,24323026,(p=9.66e-05),
29,29,8503,PIK3R3,-,67,15,0,24189400,(p=1.05e-04),,17360667,(p=1.00e-03),,22876838,(p=1.20e-03),,26252738,(p=2.20e-03),,28260020,(p=3.90e-03),,25388664,(p=4.10e-03),,25608840,(p=4.70e-03),,27503199,(p=4.70e-03),,23939377,(p=5.50e-03),,24658140,(p=6.20e-03),
30,30,55959,SULF2,-,59,13,0,21040406,(p=1.05e-04),,22293178,(p=1.10e-03),,22410125,(p=2.40e-03),,19855436,(p=3.60e-03),,28320104,(p=3.60e-03),,27589337,(p=4.30e-03),,25477293,(p=5.10e-03),,22158045,(p=5.10e-03),,26708018,(p=5.60e-03),,22623531,(p=6.00e-03),
31,31,27043,PELP1,-,100,22,0,24469035,(p=8.44e-05),,24688046,(p=1.02e-04),,18505929,(p=1.40e-03),,25788226,(p=1.70e-03),,21421858,(p=1.70e-03),,16140940,(p=1.80e-03),,26825173,(p=2.00e-03),,19800002,(p=2.20e-03),,15466214,(p=2.90e-03),,27881676,(p=3.60e-03),
32,32,4838,NODAL,-,96,21,0,27775691,(p=1.00e-03),,25073112,(p=1.70e-03),,27007464,(p=1.70e-03),,20383200,(p=1.70e-03),,16179608,(p=3.60e-03),,28468864,(p=3.60e-03),,25304053,(p=3.60e-03),,23144858,(p=3.70e-03),,21356369,(p=4.00e-03),,25672326,(p=4.40e-03),
33,33,4296,MAP3K11,-,87,19,0,20937558,(p=1.08e-04),,26152725,(p=2.03e-04),,22139075,(p=3.00e-04),,20150185,(p=7.00e-04),,15923109,(p=2.40e-03),,19782705,(p=2.90e-03),,20368287,(p=3.60e-03),,22652451,(p=3.60e-03),,22761715,(p=3.60e-03),,21880738,(p=4.10e-03),
34,34,64866,CDCP1,-,74,16,0,23378636,(p=1.10e-03),,26882065,(p=1.70e-03),,25893298,(p=1.70e-03),,25728678,(p=2.00e-03),,23208492,(p=2.00e-03),,26307391,(p=4.30e-03),,18467693,(p=4.40e-03),,25892239,(p=4.70e-03),,22315226,(p=4.70e-03),,24681947,(p=5.00e-03),
35,35,8821,INPP4B,-,52,11,0,28196852,(p=1.00e-03),,25868852,(p=1.30e-03),,24837011,(p=1.90e-03),,21127264,(p=2.20e-03),,24288008,(p=3.60e-03),,26573229,(p=4.60e-03),,25248616,(p=5.10e-03),,22895072,(p=7.10e-03),,27318090,(p=7.60e-03),,28982866,(p=8.20e-03),
36,36,5754,PTK7,-,57,12,0,25962058,(p=1.08e-04),,24587299,(p=5.05e-04),,25204555,(p=5.05e-04),,27557627,(p=9.00e-04),,27689325,(p=1.70e-03),,24654231,(p=2.30e-03),,18471990,(p=4.80e-03),,23663482,(p=5.10e-03),,21103379,(p=5.10e-03),,20558616,(p=8.20e-03),
37,37,9252,RPS6KA5,-,96,20,0,27196759,(p=9.83e-05),,19672773,(p=4.00e-04),,26109721,(p=4.01e-04),,25958199,(p=1.10e-03),,10880354,(p=2.70e-03),,29327245,(p=2.90e-03),,23604116,(p=3.10e-03),,14551213,(p=3.10e-03),,20406806,(p=3.10e-03),,25520509,(p=3.60e-03),
38,38,57580,PREX1,-,59,12,0,25284585,(p=8.77e-05),,27358402,(p=2.01e-04),,19305425,(p=1.70e-03),,21339740,(p=2.70e-03),,27351228,(p=3.80e-03),,27481946,(p=5.10e-03),,17565979,(p=6.10e-03),,23478800,(p=6.60e-03),,21172654,(p=7.10e-03),,20018810,(p=7.30e-03),
