,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
18,18,238,ALK,-,529,78,1.376e-99,26537995,(p=2.07e-04),,24288180,(p=2.12e-04),,26973324,(p=2.14e-04),,26719536,(p=4.00e-04),,26973202,(p=9.03e-04),,26966027,(p=9.03e-04),,21720997,(p=9.04e-04),,24443522,(p=9.06e-04),,19667264,(p=1.10e-03),,21358343,(p=1.30e-03),
19,19,558,AXL,-,235,61,1.54e-99,25767293,(p=9.01e-04),,25125659,(p=9.05e-04),,28251492,(p=1.00e-03),,24240689,(p=1.30e-03),,27671334,(p=1.50e-03),,25637219,(p=1.50e-03),,27856601,(p=1.70e-03),,26760782,(p=2.00e-03),,25873175,(p=2.30e-03),,26815723,(p=2.50e-03),
20,20,29126,CD274,-,734,78,1.888e-88,28275115,(p=9.28e-05),,26346135,(p=9.32e-05),,26424759,(p=2.13e-04),,27534574,(p=2.14e-04),,27470968,(p=4.00e-04),,25538263,(p=8.01e-04),,25658629,(p=8.01e-04),,24815784,(p=9.01e-04),,25371070,(p=9.03e-04),,28288993,(p=1.00e-03),
21,21,3815,KIT,-,935,81,8.506e-84,19636022,(p=2.12e-04),,25202099,(p=3.00e-04),,27371698,(p=3.02e-04),,25411163,(p=6.00e-04),,20686603,(p=8.01e-04),,19326424,(p=9.03e-04),,19861442,(p=9.04e-04),,21993766,(p=9.05e-04),,18314612,(p=9.05e-04),,19540337,(p=9.07e-04),
22,22,5747,PTK2,-,828,69,3.64e-74,26962872,(p=3.01e-04),,26295809,(p=8.01e-04),,26892465,(p=9.02e-04),,27064283,(p=9.04e-04),,23536552,(p=1.00e-03),,25971297,(p=1.30e-03),,27733373,(p=1.60e-03),,18632638,(p=1.90e-03),,21800286,(p=2.50e-03),,24848258,(p=2.50e-03),
23,23,5728,PTEN,-,1903,97,5.232e-74,26526582,(p=8.43e-05),,21358673,(p=2.12e-04),,19055754,(p=6.00e-04),,23989949,(p=9.04e-04),,26861608,(p=1.00e-03),,24603487,(p=1.00e-03),,19164214,(p=1.30e-03),,18559622,(p=1.30e-03),,22075159,(p=1.50e-03),,23592446,(p=1.50e-03),
24,24,6714,SRC,-,1255,78,3.281e-71,18524994,(p=4.01e-04),,21618517,(p=9.05e-04),,23242808,(p=1.00e-03),,21632985,(p=1.30e-03),,17620427,(p=1.30e-03),,21509526,(p=1.50e-03),,24189400,(p=1.50e-03),,18377662,(p=1.80e-03),,18632638,(p=1.90e-03),,15122338,(p=2.50e-03),
25,25,6198,RPS6KB1,-,354,48,6.333e-68,25061101,(p=9.02e-04),,24332215,(p=9.05e-04),,28376174,(p=1.30e-03),,18025271,(p=1.50e-03),,24456794,(p=1.70e-03),,24447434,(p=1.70e-03),,27993682,(p=2.10e-03),,21541441,(p=2.30e-03),,22110663,(p=2.40e-03),,19815051,(p=2.50e-03),
26,26,2260,FGFR1,-,503,50,3.478e-63,25900027,(p=8.47e-05),,27315356,(p=3.04e-04),,29454091,(p=3.04e-04),,26351320,(p=1.30e-03),,26549034,(p=1.70e-03),,20103604,(p=2.30e-03),,23808822,(p=2.50e-03),,23343422,(p=2.50e-03),,23619603,(p=2.50e-03),,25512530,(p=2.60e-03),
27,27,5133,PDCD1,-,584,52,1.511e-62,27059553,(p=7.33e-05),,26346135,(p=9.32e-05),,27534574,(p=2.14e-04),,27354668,(p=3.01e-04),,25704439,(p=3.04e-04),,27470968,(p=4.00e-04),,24815784,(p=9.01e-04),,18494554,(p=9.04e-04),,26113085,(p=1.50e-03),,27354476,(p=1.60e-03),
28,28,5156,PDGFRA,-,440,47,6.565e-62,25202099,(p=3.00e-04),,25411163,(p=6.00e-04),,20686603,(p=8.01e-04),,19326424,(p=9.03e-04),,23146028,(p=9.03e-04),,18955458,(p=1.00e-03),,19675092,(p=1.00e-03),,21396851,(p=1.00e-03),,21157293,(p=1.60e-03),,22744707,(p=1.70e-03),
29,29,4170,MCL1,-,587,51,3.529e-61,27351224,(p=3.05e-04),,20038816,(p=1.00e-03),,23883584,(p=1.10e-03),,17927446,(p=1.10e-03),,18483275,(p=2.10e-03),,26603262,(p=2.30e-03),,23580240,(p=2.30e-03),,18609706,(p=2.50e-03),,16327976,(p=2.50e-03),,27307592,(p=2.60e-03),
30,30,3082,HGF,-,693,53,5.175e-60,23045285,(p=6.01e-04),,28341789,(p=8.01e-04),,27918718,(p=9.03e-04),,21423210,(p=1.50e-03),,26790028,(p=1.60e-03),,24609899,(p=1.70e-03),,23386689,(p=1.90e-03),,16144920,(p=2.50e-03),,19470725,(p=2.50e-03),,20661229,(p=2.60e-03),
