,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
18,18,11200,CHEK2,-,513,107,5.906e-141,21034966,(p=1.06e-04),,26083025,(p=1.16e-04),,26054341,(p=1.31e-04),,24657486,(p=2.05e-04),,18566216,(p=2.07e-04),,18667510,(p=2.07e-04),,24480460,(p=2.09e-04),,25749521,(p=3.03e-04),,17101782,(p=4.00e-04),,18622427,(p=4.02e-04),
19,19,332,BIRC5,-,1116,137,8.482e-136,19676105,(p=3.01e-04),,20072652,(p=3.03e-04),,22407831,(p=4.03e-04),,22723337,(p=5.00e-04),,19624872,(p=6.02e-04),,26679694,(p=6.03e-04),,24886669,(p=6.04e-04),,24886358,(p=6.04e-04),,21470426,(p=6.05e-04),,19781773,(p=6.05e-04),
20,20,4170,MCL1,-,587,108,1.044e-135,17927446,(p=4.00e-04),,21863213,(p=4.01e-04),,29287727,(p=6.00e-04),,28337703,(p=6.02e-04),,26014377,(p=6.02e-04),,25362855,(p=6.03e-04),,20038816,(p=6.05e-04),,27351224,(p=6.06e-04),,26603262,(p=8.01e-04),,25107702,(p=8.01e-04),
21,21,545,ATR,-,458,99,4.836e-135,21034966,(p=1.06e-04),,23548269,(p=1.29e-04),,25269479,(p=2.02e-04),,27625305,(p=2.07e-04),,29038346,(p=2.08e-04),,26486089,(p=2.09e-04),,23451157,(p=3.01e-04),,25232030,(p=3.01e-04),,25483091,(p=5.00e-04),,26517239,(p=5.00e-04),
22,22,8743,TNFSF10,-,776,113,2.473e-128,19956887,(p=2.06e-04),,12907654,(p=2.08e-04),,17431115,(p=4.00e-04),,28270124,(p=4.01e-04),,20417200,(p=6.01e-04),,11877293,(p=6.01e-04),,28337703,(p=6.02e-04),,18640940,(p=6.02e-04),,23053497,(p=6.04e-04),,21291526,(p=7.00e-04),
23,23,5728,PTEN,-,1903,163,4.695e-128,26905328,(p=1.28e-04),,28349562,(p=2.09e-04),,25646931,(p=5.01e-04),,25870146,(p=5.01e-04),,25576921,(p=6.00e-04),,24830350,(p=6.02e-04),,25146530,(p=6.02e-04),,24356815,(p=6.03e-04),,20113523,(p=6.04e-04),,21358673,(p=6.06e-04),
24,24,4233,MET,-,1039,123,5.726e-125,23381625,(p=1.34e-04),,26580964,(p=2.06e-04),,27573171,(p=3.03e-04),,23348694,(p=3.03e-04),,23671132,(p=4.01e-04),,23992325,(p=5.01e-04),,27789775,(p=5.01e-04),,22590625,(p=6.02e-04),,24786972,(p=6.03e-04),,26215952,(p=6.04e-04),
25,25,4683,NBN,-,439,87,1.895e-119,28073364,(p=1.30e-04),,26584681,(p=2.04e-04),,19383352,(p=6.02e-04),,18025084,(p=6.03e-04),,22941933,(p=6.04e-04),,25088203,(p=6.06e-04),,18469862,(p=6.06e-04),,28631426,(p=6.07e-04),,27171262,(p=7.02e-04),,12036913,(p=9.00e-04),
26,26,5591,PRKDC,-,532,87,8.257e-112,25205036,(p=1.30e-04),,18644989,(p=1.34e-04),,15286704,(p=1.34e-04),,22131882,(p=2.07e-04),,9398855,(p=2.07e-04),,25771720,(p=2.09e-04),,21679440,(p=2.09e-04),,18508926,(p=3.00e-04),,12750264,(p=3.02e-04),,25749521,(p=3.03e-04),
27,27,3480,IGF1R,-,955,105,1.691e-109,25388513,(p=1.35e-04),,24186206,(p=2.03e-04),,19996272,(p=2.05e-04),,18263593,(p=3.00e-04),,26497996,(p=3.02e-04),,23515613,(p=4.00e-04),,20417200,(p=6.01e-04),,27472395,(p=6.02e-04),,21177763,(p=6.04e-04),,23818948,(p=6.04e-04),
28,28,673,BRAF,-,1852,127,7.487e-100,27283860,(p=1.34e-04),,26384810,(p=2.04e-04),,25646931,(p=5.01e-04),,26460303,(p=5.01e-04),,22180495,(p=6.02e-04),,24398428,(p=6.05e-04),,17878251,(p=6.05e-04),,27351224,(p=6.06e-04),,22742884,(p=8.01e-04),,21936566,(p=8.01e-04),
29,29,596,BCL2,-,1761,124,9.01e-100,21463514,(p=1.35e-04),,19676105,(p=3.01e-04),,20072652,(p=3.03e-04),,28379541,(p=6.01e-04),,28428442,(p=6.02e-04),,21444675,(p=6.02e-04),,19786087,(p=6.05e-04),,25355727,(p=6.06e-04),,25885284,(p=6.07e-04),,26874859,(p=7.00e-04),
30,30,5347,PLK1,-,605,81,4.542e-99,21399492,(p=1.30e-04),,23144294,(p=2.00e-04),,23790466,(p=3.01e-04),,27647547,(p=4.01e-04),,23753023,(p=5.00e-04),,25826089,(p=5.01e-04),,22188812,(p=6.01e-04),,28126323,(p=6.02e-04),,27558135,(p=6.02e-04),,25483104,(p=6.03e-04),
31,31,1027,CDKN1B,-,929,91,3.09e-95,25821107,(p=1.33e-04),,21062737,(p=6.04e-04),,23982416,(p=6.07e-04),,27694903,(p=7.00e-04),,21054888,(p=7.01e-04),,27611996,(p=8.00e-04),,25524798,(p=9.00e-04),,19636294,(p=1.00e-03),,28212547,(p=1.20e-03),,20143334,(p=1.40e-03),
32,32,4609,MYC,-,1745,116,1.918e-93,17297307,(p=4.02e-04),,27183205,(p=6.05e-04),,26988986,(p=6.06e-04),,25748238,(p=6.06e-04),,21054888,(p=7.01e-04),,25411027,(p=8.01e-04),,19134217,(p=9.02e-04),,27076630,(p=1.00e-03),,27903272,(p=1.10e-03),,20716114,(p=1.10e-03),
33,33,2177,FANCD2,-,220,55,4.792e-91,23063585,(p=1.28e-04),,25542235,(p=2.03e-04),,25652403,(p=2.09e-04),,19671671,(p=2.09e-04),,24708616,(p=4.02e-04),,23633493,(p=6.03e-04),,24036544,(p=6.03e-04),,18469862,(p=6.06e-04),,21520247,(p=7.01e-04),,22484854,(p=7.02e-04),
34,34,79728,PALB2,-,169,51,1.296e-90,24085845,(p=1.08e-04),,23585894,(p=1.31e-04),,28319063,(p=1.34e-04),,28124401,(p=2.02e-04),,23657012,(p=2.06e-04),,25652403,(p=2.09e-04),,27328445,(p=3.02e-04),,22505525,(p=3.03e-04),,26640152,(p=4.01e-04),,23824750,(p=5.01e-04),
35,35,7158,TP53BP1,-,263,55,2.422e-86,23246380,(p=1.23e-04),,28213517,(p=1.36e-04),,23337117,(p=2.01e-04),,20453858,(p=2.02e-04),,24191908,(p=2.05e-04),,27466483,(p=3.01e-04),,22421153,(p=3.03e-04),,27465548,(p=6.00e-04),,28241136,(p=6.02e-04),,25976740,(p=6.04e-04),
36,36,2065,ERBB3,-,443,64,5.03e-86,15504738,(p=6.06e-04),,27358485,(p=6.06e-04),,20726858,(p=7.01e-04),,24667376,(p=7.02e-04),,24044505,(p=8.01e-04),,23998444,(p=9.01e-04),,25471734,(p=1.20e-03),,17203234,(p=1.40e-03),,27793840,(p=1.60e-03),,21278786,(p=1.90e-03),
37,37,4361,MRE11,-,290,53,1.415e-80,21300766,(p=1.28e-04),,28073364,(p=1.30e-04),,24927325,(p=1.33e-04),,16417627,(p=2.08e-04),,23349304,(p=3.01e-04),,19383352,(p=6.02e-04),,18025084,(p=6.03e-04),,22914783,(p=6.03e-04),,18469862,(p=6.06e-04),,27171262,(p=7.02e-04),
38,38,4790,NFKB1,-,2819,123,7.559e-78,19746155,(p=2.08e-04),,25028470,(p=3.03e-04),,24300974,(p=4.00e-04),,22286758,(p=4.02e-04),,26522725,(p=6.06e-04),,14676829,(p=7.00e-04),,20126979,(p=8.00e-04),,18158619,(p=9.02e-04),,25509983,(p=1.10e-03),,20716114,(p=1.10e-03),
39,39,331,XIAP,-,499,60,3.555e-77,27607580,(p=2.04e-04),,12855663,(p=2.06e-04),,17339366,(p=2.08e-04),,23640046,(p=6.06e-04),,23817665,(p=6.07e-04),,22776562,(p=7.01e-04),,18645029,(p=8.01e-04),,19787196,(p=9.01e-04),,17035597,(p=1.30e-03),,25572427,(p=1.30e-03),
40,40,2305,FOXM1,-,363,54,1.178e-76,25391371,(p=2.07e-04),,20068070,(p=3.00e-04),,23531216,(p=3.01e-04),,17101782,(p=4.00e-04),,26927663,(p=6.05e-04),,23857410,(p=7.02e-04),,25213081,(p=9.00e-04),,25633416,(p=9.01e-04),,27439614,(p=9.02e-04),,23108394,(p=1.00e-03),
41,41,4193,MDM2,-,1687,94,3.912e-76,19934289,(p=1.32e-04),,27259273,(p=2.05e-04),,26070072,(p=3.01e-04),,20803550,(p=3.01e-04),,25567130,(p=3.01e-04),,16152627,(p=6.01e-04),,21338495,(p=6.02e-04),,25964101,(p=6.03e-04),,27736841,(p=6.04e-04),,26317544,(p=6.05e-04),
42,42,29126,CD274,-,734,67,1.42e-75,28167507,(p=3.01e-04),,27534574,(p=4.01e-04),,27470968,(p=6.03e-04),,25658629,(p=6.07e-04),,28230773,(p=7.01e-04),,28288993,(p=8.00e-04),,26317305,(p=9.01e-04),,27984238,(p=1.00e-03),,28275115,(p=1.10e-03),,24815784,(p=1.40e-03),
43,43,836,CASP3,-,1069,77,1.738e-75,19996272,(p=2.05e-04),,20072652,(p=3.03e-04),,20198319,(p=4.02e-04),,26014377,(p=6.02e-04),,25748204,(p=6.03e-04),,12581734,(p=6.03e-04),,20068062,(p=6.05e-04),,20038816,(p=6.05e-04),,24161344,(p=6.06e-04),,27618007,(p=8.00e-04),
44,44,367,AR,-,2103,102,1.444e-74,28851861,(p=1.35e-04),,28468774,(p=2.02e-04),,26876202,(p=6.03e-04),,24356815,(p=6.03e-04),,28228262,(p=6.05e-04),,23786771,(p=6.05e-04),,24615402,(p=6.06e-04),,26196320,(p=8.00e-04),,12036913,(p=9.00e-04),,26336104,(p=9.01e-04),
45,45,6790,AURKA,-,611,62,1.726e-74,24480460,(p=2.09e-04),,19649632,(p=5.01e-04),,25362855,(p=6.03e-04),,28764929,(p=6.05e-04),,15504738,(p=6.06e-04),,26443806,(p=9.00e-04),,25882311,(p=9.01e-04),,27213815,(p=9.02e-04),,23334327,(p=1.00e-03),,25625960,(p=1.00e-03),
46,46,2099,ESR1,-,2923,117,1.871e-72,16417649,(p=2.09e-04),,21509526,(p=3.02e-04),,18558727,(p=6.02e-04),,25991817,(p=6.02e-04),,25275589,(p=6.03e-04),,28498399,(p=6.04e-04),,17388661,(p=6.06e-04),,18593923,(p=6.07e-04),,29029116,(p=6.07e-04),,24045439,(p=6.07e-04),
47,47,3320,HSP90AA1,-,908,69,7.485e-72,22869732,(p=1.03e-04),,24085845,(p=1.08e-04),,24682747,(p=1.29e-04),,26556860,(p=2.03e-04),,22144665,(p=3.00e-04),,19952121,(p=4.02e-04),,24463348,(p=6.04e-04),,24398428,(p=6.05e-04),,28631426,(p=6.07e-04),,20000738,(p=7.00e-04),
48,48,598,BCL2L1,-,648,60,1.889e-70,26396258,(p=2.04e-04),,17927446,(p=4.00e-04),,21863213,(p=4.01e-04),,23475955,(p=7.00e-04),,24922075,(p=1.10e-03),,26939706,(p=1.10e-03),,15827323,(p=1.30e-03),,23171055,(p=1.40e-03),,26556313,(p=1.50e-03),,23680104,(p=1.50e-03),
