,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
18,18,10381,TUBB3,-,198,31,1.718e-45,23853246,(p=9.47e-05),,22358390,(p=9.58e-05),,20868593,(p=4.00e-04),,18977553,(p=4.01e-04),,12789263,(p=4.01e-04),,23941826,(p=5.00e-04),,29491095,(p=6.03e-04),,25130963,(p=6.04e-04),,24894670,(p=7.03e-04),,24053422,(p=9.01e-04),
19,19,4233,MET,-,1039,52,3.15e-44,27789775,(p=9.90e-05),,23381625,(p=6.01e-04),,21383285,(p=9.01e-04),,26580964,(p=1.30e-03),,20126471,(p=1.60e-03),,27401892,(p=1.60e-03),,25908454,(p=1.60e-03),,23992325,(p=1.80e-03),,28337527,(p=2.20e-03),,26282167,(p=2.30e-03),
20,20,3480,IGF1R,-,955,50,6.033e-44,21177763,(p=6.06e-04),,19806209,(p=6.07e-04),,25081930,(p=7.01e-04),,28498399,(p=1.50e-03),,25175038,(p=2.20e-03),,28498434,(p=2.50e-03),,24026884,(p=2.50e-03),,26450156,(p=2.80e-03),,25824321,(p=3.20e-03),,26850678,(p=3.40e-03),
21,21,4170,MCL1,-,587,41,5.951e-43,21863213,(p=9.00e-04),,27120977,(p=9.02e-04),,16969094,(p=1.30e-03),,18676833,(p=1.60e-03),,26036638,(p=2.30e-03),,23171055,(p=2.50e-03),,17927446,(p=2.60e-03),,27409838,(p=2.80e-03),,24564888,(p=2.90e-03),,25627260,(p=3.10e-03),
22,22,8743,TNFSF10,-,776,41,3.295e-38,26381901,(p=6.04e-04),,23053497,(p=7.00e-04),,23426404,(p=9.01e-04),,18640940,(p=1.40e-03),,21291526,(p=1.70e-03),,28424227,(p=1.80e-03),,28324269,(p=2.50e-03),,23699656,(p=2.80e-03),,18451172,(p=2.90e-03),,23944369,(p=3.10e-03),
23,23,2950,GSTP1,-,1450,51,1.113e-36,12789263,(p=4.01e-04),,19786980,(p=6.03e-04),,20734048,(p=7.00e-04),,17409981,(p=7.01e-04),,22000861,(p=1.50e-03),,17925548,(p=1.80e-03),,19332728,(p=2.30e-03),,19347979,(p=2.30e-03),,25010864,(p=2.30e-03),,17513610,(p=2.40e-03),
24,24,5728,PTEN,-,1903,56,2.39e-35,23613387,(p=6.04e-04),,22759273,(p=6.07e-04),,25725586,(p=6.09e-04),,25833835,(p=9.00e-04),,28213783,(p=1.50e-03),,24434152,(p=1.60e-03),,26905328,(p=2.00e-03),,25056500,(p=2.50e-03),,19843859,(p=3.30e-03),,26861608,(p=3.30e-03),
25,25,2099,ESR1,-,2923,66,3.872e-33,19667268,(p=6.04e-04),,21901395,(p=9.01e-04),,24786296,(p=1.10e-03),,26916095,(p=1.50e-03),,28498399,(p=1.50e-03),,17388661,(p=1.60e-03),,26980709,(p=1.80e-03),,24885022,(p=1.90e-03),,23991038,(p=2.30e-03),,20920367,(p=2.90e-03),
26,26,2305,FOXM1,-,363,28,5.205e-33,28482906,(p=3.01e-04),,26918606,(p=7.03e-04),,26560505,(p=8.00e-04),,25537512,(p=1.60e-03),,23054116,(p=1.80e-03),,28277541,(p=2.50e-03),,27439614,(p=2.90e-03),,25213081,(p=3.20e-03),,23531216,(p=3.20e-03),,20530690,(p=3.70e-03),
27,27,29126,CD274,-,734,35,1.696e-32,28275115,(p=6.01e-04),,28230773,(p=6.08e-04),,28112370,(p=9.00e-04),,17920123,(p=1.60e-03),,27534574,(p=2.50e-03),,27610620,(p=3.10e-03),,24815784,(p=3.20e-03),,28288993,(p=3.30e-03),,26317305,(p=3.60e-03),,28684311,(p=4.20e-03),
