,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
18,18,4233,MET,-,1039,217,1.018e-227,26580964,(p=9.15e-05),,25908454,(p=9.49e-05),,23992325,(p=1.00e-04),,23671132,(p=1.03e-04),,23348694,(p=1.03e-04),,23381625,(p=2.01e-04),,21500189,(p=3.01e-04),,20661229,(p=3.01e-04),,22238368,(p=3.02e-04),,21423210,(p=3.02e-04),
19,19,581,BAX,-,932,205,2.45e-224,17927446,(p=7.52e-05),,25889084,(p=8.56e-05),,18494554,(p=9.58e-05),,20045442,(p=1.02e-04),,12907654,(p=1.02e-04),,25384499,(p=3.01e-04),,20503275,(p=4.02e-04),,12151395,(p=4.04e-04),,21746927,(p=4.04e-04),,15642728,(p=4.04e-04),
20,20,5290,PIK3CA,-,1251,227,1.864e-220,22351695,(p=9.02e-05),,24249715,(p=9.13e-05),,24011934,(p=9.30e-05),,22905202,(p=9.93e-05),,21440011,(p=1.01e-04),,24323026,(p=1.03e-04),,25501831,(p=2.00e-04),,26499488,(p=3.01e-04),,22336586,(p=3.01e-04),,25491778,(p=3.02e-04),
21,21,836,CASP3,-,1069,212,1.553e-219,24607276,(p=9.19e-05),,20038816,(p=9.39e-05),,21724551,(p=9.47e-05),,19996272,(p=9.82e-05),,20045442,(p=1.02e-04),,21944661,(p=2.02e-04),,25435190,(p=4.00e-04),,19223905,(p=4.00e-04),,20072652,(p=4.02e-04),,20087649,(p=4.02e-04),
22,22,8837,CFLAR,-,344,140,1.485e-216,27607580,(p=7.92e-05),,22948392,(p=1.04e-04),,19956887,(p=4.01e-04),,26992204,(p=4.01e-04),,23256568,(p=4.03e-04),,17070520,(p=5.01e-04),,14662022,(p=5.02e-04),,19243385,(p=5.02e-04),,26195820,(p=5.02e-04),,26142735,(p=6.01e-04),
23,23,5594,MAPK1,-,1938,270,8.05e-216,26310353,(p=8.57e-05),,28241849,(p=8.75e-05),,24607276,(p=9.19e-05),,28396364,(p=9.35e-05),,20038816,(p=9.39e-05),,17526808,(p=9.93e-05),,22033920,(p=1.02e-04),,24300974,(p=1.03e-04),,21444628,(p=2.01e-04),,20009539,(p=4.04e-04),
24,24,3480,IGF1R,-,955,197,5.718e-213,23818948,(p=9.48e-05),,19996272,(p=9.82e-05),,23515613,(p=1.02e-04),,20417200,(p=1.03e-04),,22710713,(p=1.04e-04),,23857432,(p=2.02e-04),,26450156,(p=2.02e-04),,24065146,(p=3.00e-04),,21372220,(p=3.00e-04),,26342551,(p=3.03e-04),
25,25,4609,MYC,-,1745,245,4.546e-205,21949397,(p=9.18e-05),,26917778,(p=9.67e-05),,24444383,(p=1.01e-04),,26119939,(p=1.01e-04),,22456335,(p=1.03e-04),,21054888,(p=2.00e-04),,28073841,(p=3.01e-04),,18393360,(p=4.00e-04),,27903272,(p=4.01e-04),,18722373,(p=4.03e-04),
26,26,5599,MAPK8,-,927,177,1.87e-192,18594007,(p=1.00e-04),,22433870,(p=1.02e-04),,21931671,(p=4.02e-04),,27401020,(p=4.05e-04),,19748889,(p=4.05e-04),,25341038,(p=4.06e-04),,24787013,(p=4.06e-04),,24040019,(p=5.01e-04),,20145041,(p=5.01e-04),,19523467,(p=5.02e-04),
27,27,1432,MAPK14,-,1249,189,7.359e-182,21858220,(p=9.80e-05),,20169663,(p=4.01e-04),,27401020,(p=4.05e-04),,19748889,(p=4.05e-04),,22053010,(p=4.05e-04),,17585337,(p=4.05e-04),,24787013,(p=4.06e-04),,19885551,(p=5.01e-04),,19091131,(p=5.02e-04),,27107996,(p=6.01e-04),
